"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,    667 ,   30 ,   4- 5 ,      30 ,       0,
   Nov18 ,    743 ,   22 ,   2- 4 ,      22 ,       0,
   Dec18 ,    811 ,   13 ,   1- 2 ,      13 ,       0,
   Jan19 ,    920 ,   22 ,   2- 3 ,      22 ,       0,
   Feb19 ,   1008 ,    9 ,   1- 1 ,       9 ,       0,
   Mar19 ,   1039 ,   28 ,   2- 3 ,      28 ,       0,
   Apr19 ,   1079 ,   38 ,   3- 4 ,      38 ,       0,
   May19 ,   1142 ,   28 ,   2- 3 ,      27 ,       1,
   Jun19 ,   1192 ,   37 ,   3- 4 ,      36 ,       1,
   Jul19 ,   1242 ,    6 ,   0- 1 ,       6 ,       0,
   Aug19 ,   1272 ,   79 ,   5- 7 ,      79 ,       0,
   Sep19 ,   1334 ,   59 ,   4- 5 ,      58 ,       1,
   Oct19 ,   1353 ,   48 ,   3- 4 ,      48 ,       0,
   Nov19 ,   1387 ,   74 ,   5- 6 ,      72 ,       2,
   Dec19 ,   1390 ,   36 ,   2- 3 ,      35 ,       1,
   Jan20 ,   1369 ,   58 ,   4- 5 ,      58 ,       0,
   Feb20 ,   1334 ,   31 ,   2- 3 ,      31 ,       0,
   Mar20 ,   1297 ,   35 ,   2- 3 ,      34 ,       1,
   Apr20 ,   1223 ,   53 ,   4- 5 ,      53 ,       0,
   May20 ,   1121 ,   69 ,   5- 7 ,      69 ,       0,
   Jun20 ,   1045 ,   46 ,   4- 5 ,      46 ,       0,
   Jul20 ,   1000 ,   60 ,   5- 7 ,      60 ,       0,
   Aug20 ,    947 ,   40 ,   4- 5 ,      40 ,       0,
   Sep20 ,    903 ,   70 ,   7- 9 ,      70 ,       0,
   Oct20 ,    871 ,   23 ,   2- 3 ,      23 ,       0,
   Nov20 ,    861 ,   50 ,   5- 7 ,      49 ,       1,
   Dec20 ,    872 ,   21 ,   2- 3 ,      21 ,       0,
   Jan21 ,    896 ,   68 ,   7- 8 ,      68 ,       0,
   Feb21 ,    872 ,   46 ,   4- 6 ,      46 ,       0,
   Mar21 ,    861 ,   27 ,   3- 4 ,      27 ,       0,
   Apr21 ,    855 ,   51 ,   5- 7 ,      51 ,       0,
   May21 ,    831 ,   51 ,   5- 7 ,      51 ,       0,
   Jun21 ,    807 ,   57 ,   6- 8 ,      56 ,       1,
   Jul21 ,    811 ,   46 ,   5- 6 ,      37 ,       9,
   Aug21 ,    816 ,   76 ,   8-10 ,      22 ,      54,
   Sep21 ,    764 ,   47 ,   5- 7 ,      21 ,      26,
   Oct21 ,    698 ,   87 ,  11-14 ,      18 ,      69,
   Nov21 ,    638 ,   43 ,   6- 8 ,      12 ,      31,
   Dec21 ,    611 ,   55 ,   8-10 ,      11 ,      44,
   Jan22 ,    586 ,   50 ,   7-10 ,       8 ,      42,
   Feb22 ,    573 ,   36 ,   5- 7 ,       9 ,      27,
   Mar22 ,    547 ,   45 ,   7- 9 ,       4 ,      41,
   Apr22 ,    524 ,   37 ,   6- 8 ,       3 ,      34,
   May22 ,    504 ,   66 ,  11-14 ,      10 ,      56,
   Jun22 ,    506 ,   59 ,  10-13 ,       7 ,      52,
   Jul22 ,    550 ,   35 ,   5- 7 ,      11 ,      24,
   Aug22 ,    606 ,   36 ,   5- 7 ,      13 ,      23,
   Sep22 ,    655 ,   32 ,   4- 6 ,      20 ,      12,
   Oct22 ,    700 ,   50 ,   6- 8 ,      20 ,      30,
   Nov22 ,    769 ,   50 ,   6- 7 ,      18 ,      32,
   Dec22 ,    834 ,   31 ,   3- 4 ,      11 ,      20,
   Jan23 ,    900 ,   39 ,   4- 5 ,      19 ,      20,
   Feb23 ,    941 ,   31 ,   3- 4 ,      16 ,      15,
   Mar23 ,    966 ,   38 ,   3- 5 ,      14 ,      24,
   Apr23 ,    978 ,   50 ,   4- 6 ,      11 ,      39,
   May23 ,    998 ,   60 ,   5- 7 ,      23 ,      37,
   Jun23 ,   1028 ,   94 ,   8-10 ,      29 ,      65,
   Jul23 ,   1033 ,   87 ,   7- 9 ,      27 ,      60,
   Aug23 ,   1064 ,   70 ,   6- 7 ,      19 ,      51,
   Sep23 ,   1077 ,  101 ,   8-10 ,      32 ,      69,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    920 , 2836 ,   5- 5 ,    1821 ,    1015,
 Percent ,        ,      ,        ,    198% ,    110%,
