"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,   1597 ,   79 ,   4- 5 ,      79 ,       0,
   Nov18 ,   1553 ,   57 ,   3- 4 ,      57 ,       0,
   Dec18 ,   1519 ,   60 ,   3- 4 ,      11 ,      49,
   Jan19 ,   1511 ,   39 ,   2- 3 ,       2 ,      37,
   Feb19 ,   1495 ,   49 ,   3- 4 ,       3 ,      46,
   Mar19 ,   1468 ,   44 ,   3- 3 ,       1 ,      43,
   Apr19 ,   1461 ,   37 ,   2- 3 ,       2 ,      35,
   May19 ,   1467 ,   51 ,   3- 4 ,       2 ,      49,
   Jun19 ,   1486 ,   50 ,   3- 4 ,       5 ,      45,
   Jul19 ,   1507 ,   71 ,   4- 5 ,       0 ,      71,
   Aug19 ,   1509 ,   67 ,   4- 5 ,       3 ,      64,
   Sep19 ,   1555 ,   86 ,   5- 6 ,       5 ,      81,
   Oct19 ,   1575 ,   84 ,   5- 6 ,       5 ,      79,
   Nov19 ,   1616 ,   75 ,   4- 5 ,       7 ,      68,
   Dec19 ,   1607 ,   72 ,   4- 5 ,       2 ,      70,
   Jan20 ,   1613 ,   49 ,   3- 3 ,       3 ,      46,
   Feb20 ,   1631 ,   58 ,   3- 4 ,       3 ,      55,
   Mar20 ,   1638 ,   57 ,   3- 4 ,       2 ,      55,
   Apr20 ,   1665 ,   45 ,   2- 3 ,       7 ,      38,
   May20 ,   1673 ,   75 ,   4- 5 ,       8 ,      67,
   Jun20 ,   1683 ,   63 ,   3- 4 ,       9 ,      54,
   Jul20 ,   1665 ,   58 ,   3- 4 ,       5 ,      53,
   Aug20 ,   1618 ,   81 ,   4- 5 ,       4 ,      77,
   Sep20 ,   1571 ,  117 ,   7- 8 ,       8 ,     109,
   Oct20 ,   1580 ,   92 ,   5- 6 ,       8 ,      84,
   Nov20 ,   1642 ,   85 ,   5- 6 ,       0 ,      85,
   Dec20 ,   1675 ,   61 ,   3- 4 ,       0 ,      61,
   Jan21 ,   1691 ,   72 ,   4- 5 ,       7 ,      65,
   Feb21 ,   1659 ,   73 ,   4- 5 ,      10 ,      63,
   Mar21 ,   1653 ,   58 ,   3- 4 ,      11 ,      47,
   Apr21 ,   1623 ,   44 ,   2- 3 ,       2 ,      42,
   May21 ,   1644 ,   58 ,   3- 4 ,       4 ,      54,
   Jun21 ,   1670 ,   70 ,   4- 5 ,       8 ,      62,
   Jul21 ,   1704 ,  128 ,   7- 8 ,      34 ,      94,
   Aug21 ,   1725 ,  193 ,  10-12 ,      66 ,     127,
   Sep21 ,   1742 ,  214 ,  11-13 ,      61 ,     153,
   Oct21 ,   1768 ,  189 ,  10-11 ,      77 ,     112,
   Nov21 ,   1852 ,  171 ,   8-10 ,      74 ,      97,
   Dec21 ,   1924 ,  193 ,   9-11 ,      75 ,     118,
   Jan22 ,   1979 ,  112 ,   5- 6 ,      52 ,      60,
   Feb22 ,   1987 ,  155 ,   7- 8 ,      66 ,      89,
   Mar22 ,   1955 ,  203 ,  10-11 ,      59 ,     144,
   Apr22 ,   1930 ,  181 ,   9-10 ,      74 ,     107,
   May22 ,   1959 ,  175 ,   8- 9 ,      77 ,      98,
   Jun22 ,   2022 ,  212 ,  10-11 ,      63 ,     149,
   Jul22 ,   2046 ,  214 ,  10-11 ,      71 ,     143,
   Aug22 ,   2016 ,  232 ,  11-12 ,      73 ,     159,
   Sep22 ,   2043 ,  272 ,  12-14 ,      94 ,     178,
   Oct22 ,   2008 ,  232 ,  11-12 ,      98 ,     134,
   Nov22 ,   2012 ,  224 ,  10-12 ,      94 ,     130,
   Dec22 ,   2011 ,  215 ,  10-11 ,      73 ,     142,
   Jan23 ,   1979 ,  190 ,   9-10 ,      96 ,      94,
   Feb23 ,   1981 ,  181 ,   8-10 ,      74 ,     107,
   Mar23 ,   1969 ,  206 ,  10-11 ,      84 ,     122,
   Apr23 ,   1947 ,  167 ,   8- 9 ,      72 ,      95,
   May23 ,   1920 ,  195 ,   9-11 ,      88 ,     107,
   Jun23 ,   1819 ,  245 ,  12-14 ,      77 ,     168,
   Jul23 ,   1713 ,  221 ,  12-14 ,      65 ,     156,
   Aug23 ,   1652 ,  275 ,  15-17 ,      95 ,     180,
   Sep23 ,   1675 ,  225 ,  12-14 ,      89 ,     136,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   1731 , 7557 ,   7- 7 ,    2304 ,    5253,
 Percent ,        ,      ,        ,    133% ,    ***%,
