"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,    136 ,    6 ,   3- 6 ,       6 ,       0,
   Nov18 ,    129 ,    3 ,   1- 4 ,       3 ,       0,
   Dec18 ,    131 ,    3 ,   1- 4 ,       3 ,       0,
   Jan19 ,    132 ,   10 ,   5-10 ,      10 ,       0,
   Feb19 ,    121 ,    4 ,   2- 5 ,       4 ,       0,
   Mar19 ,    105 ,    3 ,   2- 5 ,       3 ,       0,
   May19 ,     78 ,    1 ,   0- 3 ,       1 ,       0,
   Jun19 ,     89 ,   10 ,   8-15 ,      10 ,       0,
   Jul19 ,    106 ,    4 ,   2- 6 ,       4 ,       0,
   Aug19 ,    121 ,    7 ,   4- 8 ,       7 ,       0,
   Sep19 ,    139 ,    8 ,   4- 8 ,       8 ,       0,
   Oct19 ,    136 ,    6 ,   3- 6 ,       6 ,       0,
   Nov19 ,    121 ,    6 ,   3- 7 ,       6 ,       0,
   Dec19 ,    115 ,    5 ,   3- 7 ,       5 ,       0,
   Jan20 ,    123 ,    6 ,   3- 7 ,       6 ,       0,
   Feb20 ,    119 ,    8 ,   5- 9 ,       8 ,       0,
   Mar20 ,    117 ,    2 ,   1- 3 ,       2 ,       0,
   Apr20 ,    106 ,    7 ,   4- 9 ,       7 ,       0,
   May20 ,     95 ,    9 ,   7-13 ,       9 ,       0,
   Jun20 ,     94 ,   10 ,   8-14 ,      10 ,       0,
   Jul20 ,     93 ,    8 ,   6-12 ,       8 ,       0,
   Aug20 ,     79 ,    2 ,   1- 5 ,       2 ,       0,
   Sep20 ,     73 ,    3 ,   2- 7 ,       3 ,       0,
   Oct20 ,     94 ,    3 ,   2- 5 ,       3 ,       0,
   Nov20 ,    120 ,    1 ,   0- 2 ,       1 ,       0,
   Dec20 ,    139 ,    5 ,   2- 5 ,       5 ,       0,
   Jan21 ,    171 ,    4 ,   1- 4 ,       4 ,       0,
   Feb21 ,    175 ,    7 ,   3- 6 ,       7 ,       0,
   Mar21 ,    176 ,    5 ,   2- 4 ,       5 ,       0,
   Apr21 ,    174 ,    1 ,   0- 1 ,       1 ,       0,
   May21 ,    167 ,    2 ,   1- 2 ,       2 ,       0,
   Jun21 ,    160 ,    9 ,   4- 8 ,       9 ,       0,
   Jul21 ,    172 ,   13 ,   6-10 ,       8 ,       5,
   Aug21 ,    197 ,   13 ,   5- 8 ,       7 ,       6,
   Sep21 ,    223 ,    8 ,   2- 5 ,       7 ,       1,
   Oct21 ,    216 ,    6 ,   2- 4 ,       4 ,       2,
   Nov21 ,    200 ,   13 ,   5- 8 ,      11 ,       2,
   Dec21 ,    181 ,    5 ,   2- 4 ,       1 ,       4,
   Jan22 ,    156 ,    1 ,   0- 2 ,       1 ,       0,
   Feb22 ,    140 ,    3 ,   1- 4 ,       3 ,       0,
   Mar22 ,    138 ,    3 ,   1- 4 ,       3 ,       0,
   Apr22 ,    149 ,    3 ,   1- 3 ,       3 ,       0,
   May22 ,    188 ,    3 ,   1- 3 ,       3 ,       0,
   Jun22 ,    239 ,    2 ,   0- 2 ,       2 ,       0,
   Jul22 ,    281 ,    3 ,   1- 2 ,       1 ,       2,
   Aug22 ,    296 ,    5 ,   1- 3 ,       5 ,       0,
   Sep22 ,    323 ,    1 ,   0- 1 ,       1 ,       0,
   Oct22 ,    339 ,    5 ,   1- 2 ,       5 ,       0,
   Nov22 ,    338 ,    2 ,   0- 1 ,       2 ,       0,
   Dec22 ,    352 ,    4 ,   1- 2 ,       4 ,       0,
   Jan23 ,    361 ,    8 ,   2- 3 ,       8 ,       0,
   Feb23 ,    357 ,    7 ,   1- 3 ,       7 ,       0,
   Mar23 ,    368 ,   11 ,   2- 4 ,       7 ,       4,
   Apr23 ,    381 ,   11 ,   2- 4 ,      10 ,       1,
   May23 ,    354 ,    4 ,   1- 2 ,       4 ,       0,
   Jun23 ,    245 ,    8 ,   2- 5 ,       5 ,       3,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    171 ,  310 ,   3- 3 ,     280 ,      30,
 Percent ,        ,      ,        ,    164% ,     18%,
