"ID","CBRD","BDAT","FDAT","LACT","FTDAT","XLAME","LLAME","LMREM","Event","DIM","Date","Remark","Protocols","Technician",
         4 ,H    ,07/31/18,06/08/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 138 ,10/24/22,CAR4            ,                ,,
        13 ,X    ,08/01/18,07/07/21,   2 ,11/02/21,    1 ,    0 ,BEEFII   ,SOLD       , 121 ,11/05/21,CAR2            ,                ,,
        17 ,H    ,01/01/19,11/23/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  93 ,02/24/21,CAR4            ,                ,,
        23 ,H    ,01/15/19,12/08/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 780 ,01/27/23,CAR4            ,                ,,
        35 ,H    ,08/02/18,07/02/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  91 ,10/01/20,MIA             ,                ,,
        39 ,H    ,08/03/18,07/04/20,   1 ,00000000 ,    0 ,    0 ,-        ,DIED       ,  65 ,09/07/20,DIRTY           ,                ,,
        40 ,H    ,08/03/18,08/31/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 126 ,01/04/21,CAR4            ,                ,,
        43 ,H    ,08/03/18,08/01/21,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 498 ,12/12/22,CAR4            ,                ,,
        51 ,H    ,08/04/18,08/11/21,   2 ,00000000 ,    0 ,    1 ,-        ,SOLD       ,  57 ,10/07/21,CAR4            ,                ,,
        54 ,H    ,08/06/18,11/14/21,   2 ,10/01/22,    2 ,    0 ,BLKWRR   ,SOLD       , 334 ,10/14/22,CAR4            ,                ,,
        68 ,H    ,02/01/19,01/08/21,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 294 ,10/29/21,CAR4            ,                ,,
        70 ,H    ,03/10/19,11/26/21,   2 ,00000000 ,    0 ,    1 ,-        ,SOLD       ,  35 ,12/31/21,CAR1            ,                ,,
        73 ,H    ,02/01/19,01/26/21,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 391 ,02/21/22,CAR4            ,                ,,
        76 ,H    ,08/09/18,06/25/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 278 ,03/30/21,CAR4            ,                ,,
        77 ,H    ,03/27/19,02/04/21,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 277 ,11/08/21,CAR4            ,                ,,
        79 ,H    ,08/09/18,11/09/21,   2 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 398 ,12/12/22,CAR4            ,                ,,
        80 ,H    ,02/01/19,05/18/21,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 199 ,12/03/21,CAR4            ,                ,,
        82 ,H    ,08/10/18,12/04/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 175 ,05/28/21,ABORT           ,                ,,
        84 ,H    ,08/10/18,09/14/21,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 251 ,05/23/22,CAR4            ,                ,,
        85 ,H    ,08/10/18,10/03/21,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 592 ,05/18/23,CAR4            ,                ,,
        86 ,H    ,08/10/18,07/27/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 445 ,10/15/21,CAR4            ,                ,,
        92 ,H    ,08/11/18,12/04/20,   1 ,02/04/21,    1 ,    0 ,TRIM     ,SOLD       , 308 ,10/08/21,CAR4            ,                ,,
        93 ,H    ,08/11/18,09/05/21,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 159 ,02/11/22,CAR4            ,                ,,
        96 ,H    ,08/12/18,07/31/21,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 159 ,01/06/22,CAR4            ,                ,,
       100 ,H    ,08/13/18,07/25/21,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 236 ,03/18/22,CAR4            ,                ,,
       104 ,H    ,08/13/18,07/10/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 434 ,09/17/21,CAR4            ,                ,,
       106 ,H    ,08/13/18,10/24/20,   1 ,02/04/21,    1 ,    0 ,D        ,SOLD       , 180 ,04/22/21,CAR4            ,                ,,
       107 ,H    ,08/13/18,08/13/20,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 197 ,02/26/21,CAR4            ,                ,,
       111 ,H    ,08/14/18,06/28/20,   1 ,00000000 ,    0 ,    0 ,-        ,DIED       , 211 ,01/25/21,SICK            ,                ,,
       125 ,H    ,07/01/12,12/18/17,   4 ,04/26/18,    2 ,    1 ,TBLOCK   ,DRY        , 295 ,10/09/18,ORBEN           ,ORBENIN         ,,
       127 ,H    ,09/01/16,09/03/18,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 494 ,01/10/20,CAR4            ,                ,,
       133 ,H    ,09/01/16,08/19/18,   1 ,02/12/19,    1 ,    0 ,TRIM     ,SOLD       , 438 ,10/31/19,CAR4            ,                ,,
       134 ,H    ,09/01/16,09/18/18,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 233 ,05/09/19,SICK            ,                ,,
       139 ,H    ,09/01/16,08/24/18,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  47 ,10/10/18,CAR4            ,                ,,
       144 ,H    ,09/01/16,08/19/18,   1 ,10/18/18,    2 ,    0 ,TRIM     ,SOLD       , 390 ,09/13/19,CAR4            ,                ,,
       148 ,H    ,09/01/16,10/01/18,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  77 ,12/17/18,CAR4            ,                ,,
       149 ,H    ,09/01/16,09/20/19,   2 ,06/30/20,    3 ,    0 ,F        ,SOLD       , 287 ,07/03/20,LAME            ,                ,,
