"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,   2298 ,   76 ,   3- 4 ,      76 ,       0,
   Nov18 ,   2266 ,   59 ,   2- 3 ,      59 ,       0,
   Dec18 ,   2217 ,   24 ,   1- 1 ,      24 ,       0,
   Jan19 ,   2164 ,   56 ,   2- 3 ,      49 ,       7,
   Feb19 ,   2083 ,   42 ,   2- 2 ,      42 ,       0,
   Mar19 ,   1946 ,   46 ,   2- 3 ,      46 ,       0,
   Apr19 ,   1815 ,   48 ,   2- 3 ,      48 ,       0,
   May19 ,   1708 ,   55 ,   3- 4 ,      54 ,       1,
   Jun19 ,   1590 ,   41 ,   2- 3 ,      41 ,       0,
   Jul19 ,   1469 ,    2 ,   0- 0 ,       0 ,       2,
   Aug19 ,   1368 ,  135 ,   9-11 ,     135 ,       0,
   Sep19 ,   1330 ,   91 ,   6- 7 ,      91 ,       0,
   Oct19 ,   1307 ,   48 ,   3- 4 ,      46 ,       2,
   Nov19 ,   1311 ,   74 ,   5- 6 ,      70 ,       4,
   Dec19 ,   1356 ,   62 ,   4- 5 ,      62 ,       0,
   Jan20 ,   1424 ,   51 ,   3- 4 ,      51 ,       0,
   Feb20 ,   1458 ,   30 ,   2- 2 ,      30 ,       0,
   Mar20 ,   1468 ,   36 ,   2- 3 ,      36 ,       0,
   Apr20 ,   1442 ,   81 ,   5- 6 ,      81 ,       0,
   May20 ,   1441 ,   87 ,   5- 7 ,      87 ,       0,
   Jun20 ,   1440 ,   36 ,   2- 3 ,      36 ,       0,
   Jul20 ,   1424 ,   68 ,   4- 5 ,      68 ,       0,
   Aug20 ,   1466 ,   39 ,   2- 3 ,      39 ,       0,
   Sep20 ,   1473 ,   84 ,   5- 6 ,      84 ,       0,
   Oct20 ,   1387 ,   47 ,   3- 4 ,      47 ,       0,
   Nov20 ,   1330 ,   54 ,   3- 5 ,      53 ,       1,
   Dec20 ,   1315 ,   35 ,   2- 3 ,      35 ,       0,
   Jan21 ,   1306 ,   66 ,   4- 6 ,      64 ,       2,
   Feb21 ,   1272 ,   62 ,   4- 5 ,      62 ,       0,
   Mar21 ,   1283 ,   49 ,   3- 4 ,      49 ,       0,
   Apr21 ,   1278 ,   71 ,   5- 6 ,      71 ,       0,
   May21 ,   1254 ,   67 ,   5- 6 ,      67 ,       0,
   Jun21 ,   1245 ,   86 ,   6- 8 ,      86 ,       0,
   Jul21 ,   1312 ,  110 ,   8- 9 ,      87 ,      23,
   Aug21 ,   1408 ,   90 ,   6- 7 ,      13 ,      77,
   Sep21 ,   1469 ,   62 ,   4- 5 ,      23 ,      39,
   Oct21 ,   1522 ,  101 ,   6- 7 ,      23 ,      78,
   Nov21 ,   1556 ,   82 ,   5- 6 ,      17 ,      65,
   Dec21 ,   1570 ,  110 ,   6- 8 ,      12 ,      98,
   Jan22 ,   1638 ,   77 ,   4- 5 ,      13 ,      64,
   Feb22 ,   1701 ,   89 ,   5- 6 ,      13 ,      76,
   Mar22 ,   1682 ,  103 ,   5- 7 ,       9 ,      94,
   Apr22 ,   1653 ,   85 ,   5- 6 ,       8 ,      77,
   May22 ,   1633 ,  142 ,   8- 9 ,      17 ,     125,
   Jun22 ,   1633 ,  115 ,   6- 8 ,      10 ,     105,
   Jul22 ,   1753 ,   95 ,   5- 6 ,      13 ,      82,
   Aug22 ,   1867 ,  105 ,   5- 6 ,      20 ,      85,
   Sep22 ,   1906 ,  108 ,   5- 6 ,      33 ,      75,
   Oct22 ,   1899 ,  154 ,   7- 9 ,      41 ,     113,
   Nov22 ,   1834 ,  156 ,   8- 9 ,      28 ,     128,
   Dec22 ,   1760 ,  111 ,   6- 7 ,      22 ,      89,
   Jan23 ,   1692 ,   91 ,   5- 6 ,      24 ,      67,
   Feb23 ,   1673 ,   71 ,   4- 5 ,      28 ,      43,
   Mar23 ,   1655 ,  101 ,   5- 7 ,      20 ,      81,
   Apr23 ,   1552 ,  109 ,   6- 8 ,      16 ,      93,
   May23 ,   1437 ,  118 ,   7- 9 ,      17 ,     101,
   Jun23 ,   1323 ,  190 ,  13-15 ,      25 ,     165,
   Jul23 ,   1181 ,  188 ,  15-17 ,      16 ,     172,
   Aug23 ,   1158 ,  126 ,  10-12 ,      28 ,      98,
   Sep23 ,   1161 ,  107 ,   8-10 ,      17 ,      90,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   1559 , 4904 ,   5- 5 ,    2482 ,    2422,
 Percent ,        ,      ,        ,    159% ,    155%,
