"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,    506 ,   22 ,   3- 5 ,      22 ,       0,
   Nov18 ,    536 ,   11 ,   1- 3 ,      11 ,       0,
   Dec18 ,    549 ,   14 ,   2- 3 ,      14 ,       0,
   Jan19 ,    532 ,   18 ,   3- 4 ,      18 ,       0,
   Feb19 ,    502 ,   19 ,   3- 5 ,      18 ,       1,
   Mar19 ,    439 ,   11 ,   2- 3 ,      10 ,       1,
   Apr19 ,    388 ,   10 ,   2- 3 ,       9 ,       1,
   May19 ,    364 ,    9 ,   2- 3 ,       9 ,       0,
   Jun19 ,    375 ,   24 ,   5- 8 ,      24 ,       0,
   Jul19 ,    414 ,    9 ,   2- 3 ,       8 ,       1,
   Aug19 ,    457 ,   23 ,   4- 6 ,      21 ,       2,
   Sep19 ,    497 ,   14 ,   2- 4 ,      14 ,       0,
   Oct19 ,    503 ,   20 ,   3- 5 ,      20 ,       0,
   Nov19 ,    492 ,    7 ,   1- 2 ,       7 ,       0,
   Dec19 ,    474 ,   22 ,   4- 6 ,      22 ,       0,
   Jan20 ,    458 ,   13 ,   2- 4 ,      13 ,       0,
   Feb20 ,    411 ,   17 ,   3- 5 ,      17 ,       0,
   Mar20 ,    374 ,    9 ,   2- 3 ,       9 ,       0,
   Apr20 ,    315 ,   10 ,   2- 4 ,      10 ,       0,
   May20 ,    287 ,   17 ,   5- 7 ,      17 ,       0,
   Jun20 ,    292 ,   21 ,   6- 9 ,      21 ,       0,
   Jul20 ,    315 ,   15 ,   4- 6 ,      15 ,       0,
   Aug20 ,    348 ,    7 ,   1- 3 ,       7 ,       0,
   Sep20 ,    377 ,    9 ,   2- 3 ,       9 ,       0,
   Oct20 ,    384 ,    6 ,   1- 2 ,       6 ,       0,
   Nov20 ,    399 ,    9 ,   2- 3 ,       9 ,       0,
   Dec20 ,    404 ,   10 ,   2- 3 ,      10 ,       0,
   Jan21 ,    399 ,    7 ,   1- 2 ,       7 ,       0,
   Feb21 ,    391 ,   16 ,   3- 5 ,      16 ,       0,
   Mar21 ,    382 ,   10 ,   2- 4 ,      10 ,       0,
   Apr21 ,    374 ,    4 ,   1- 2 ,       4 ,       0,
   May21 ,    367 ,    3 ,   0- 1 ,       3 ,       0,
   Jun21 ,    377 ,   12 ,   2- 4 ,      12 ,       0,
   Jul21 ,    417 ,   17 ,   3- 5 ,      11 ,       6,
   Aug21 ,    457 ,   15 ,   3- 4 ,       9 ,       6,
   Sep21 ,    469 ,   13 ,   2- 4 ,      11 ,       2,
   Oct21 ,    433 ,   12 ,   2- 4 ,       9 ,       3,
   Nov21 ,    398 ,   14 ,   3- 4 ,      11 ,       3,
   Dec21 ,    380 ,   14 ,   3- 5 ,       5 ,       9,
   Jan22 ,    355 ,    3 ,   0- 1 ,       3 ,       0,
   Feb22 ,    359 ,    5 ,   1- 2 ,       4 ,       1,
   Mar22 ,    355 ,    9 ,   2- 3 ,       9 ,       0,
   Apr22 ,    378 ,    7 ,   1- 3 ,       7 ,       0,
   May22 ,    469 ,    8 ,   1- 2 ,       6 ,       2,
   Jun22 ,    551 ,    5 ,   1- 1 ,       5 ,       0,
   Jul22 ,    633 ,   11 ,   1- 2 ,       9 ,       2,
   Aug22 ,    665 ,    9 ,   1- 2 ,       9 ,       0,
   Sep22 ,    718 ,    6 ,   1- 1 ,       5 ,       1,
   Oct22 ,    766 ,   13 ,   1- 2 ,      12 ,       1,
   Nov22 ,    812 ,    7 ,   1- 1 ,       7 ,       0,
   Dec22 ,    859 ,    6 ,   0- 1 ,       6 ,       0,
   Jan23 ,    896 ,   10 ,   1- 1 ,       9 ,       1,
   Feb23 ,    944 ,   12 ,   1- 2 ,      12 ,       0,
   Mar23 ,    970 ,   21 ,   2- 3 ,      14 ,       7,
   Apr23 ,    985 ,   14 ,   1- 2 ,      12 ,       2,
   May23 ,    915 ,   11 ,   1- 2 ,      10 ,       1,
   Jun23 ,    667 ,   16 ,   2- 3 ,       9 ,       7,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    477 ,  686 ,   2- 2 ,     626 ,      60,
 Percent ,        ,      ,        ,    131% ,     13%,
