"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,    574 ,   75 ,  12-14 ,      75 ,       0,
   Nov18 ,    542 ,   36 ,   6- 8 ,      36 ,       0,
   Dec18 ,    519 ,   15 ,   2- 4 ,      15 ,       0,
   Jan19 ,    490 ,   29 ,   5- 7 ,      29 ,       0,
   Feb19 ,    462 ,   29 ,   5- 7 ,      29 ,       0,
   Mar19 ,    430 ,   18 ,   3- 5 ,      17 ,       1,
   Apr19 ,    408 ,   25 ,   5- 7 ,      25 ,       0,
   May19 ,    420 ,   20 ,   4- 6 ,      20 ,       0,
   Jun19 ,    449 ,   16 ,   3- 4 ,      16 ,       0,
   Jul19 ,    476 ,    5 ,   1- 2 ,       5 ,       0,
   Aug19 ,    462 ,   34 ,   6- 9 ,      34 ,       0,
   Sep19 ,    485 ,   26 ,   4- 6 ,      26 ,       0,
   Oct19 ,    511 ,   17 ,   3- 4 ,      17 ,       0,
   Nov19 ,    562 ,   22 ,   3- 5 ,      22 ,       0,
   Dec19 ,    621 ,   16 ,   2- 3 ,      15 ,       1,
   Jan20 ,    657 ,   37 ,   5- 6 ,      37 ,       0,
   Feb20 ,    698 ,   28 ,   3- 5 ,      28 ,       0,
   Mar20 ,    725 ,   43 ,   5- 7 ,      43 ,       0,
   Apr20 ,    742 ,   44 ,   5- 7 ,      44 ,       0,
   May20 ,    773 ,   39 ,   4- 6 ,      39 ,       0,
   Jun20 ,    801 ,   28 ,   3- 4 ,      28 ,       0,
   Jul20 ,    861 ,   46 ,   5- 6 ,      46 ,       0,
   Aug20 ,    892 ,   27 ,   2- 4 ,      27 ,       0,
   Sep20 ,    901 ,   58 ,   6- 7 ,      58 ,       0,
   Oct20 ,    913 ,   30 ,   3- 4 ,      30 ,       0,
   Nov20 ,    935 ,   45 ,   4- 5 ,      45 ,       0,
   Dec20 ,    940 ,   23 ,   2- 3 ,      23 ,       0,
   Jan21 ,    943 ,   49 ,   4- 6 ,      49 ,       0,
   Feb21 ,    916 ,   31 ,   3- 4 ,      31 ,       0,
   Mar21 ,    903 ,   50 ,   5- 6 ,      49 ,       1,
   Apr21 ,    880 ,   50 ,   5- 6 ,      50 ,       0,
   May21 ,    846 ,   40 ,   4- 5 ,      40 ,       0,
   Jun21 ,    798 ,   63 ,   7- 9 ,      63 ,       0,
   Jul21 ,    766 ,   47 ,   5- 7 ,      42 ,       5,
   Aug21 ,    756 ,   56 ,   6- 8 ,      19 ,      37,
   Sep21 ,    709 ,   56 ,   7- 9 ,      27 ,      29,
   Oct21 ,    677 ,   79 ,  10-13 ,      16 ,      63,
   Nov21 ,    652 ,   46 ,   6- 8 ,      21 ,      25,
   Dec21 ,    649 ,   78 ,  11-13 ,      24 ,      54,
   Jan22 ,    641 ,   57 ,   8-10 ,      25 ,      32,
   Feb22 ,    627 ,   38 ,   5- 7 ,      13 ,      25,
   Mar22 ,    610 ,   40 ,   6- 8 ,      12 ,      28,
   Apr22 ,    576 ,   47 ,   7- 9 ,      11 ,      36,
   May22 ,    525 ,   76 ,  13-16 ,      20 ,      56,
   Jun22 ,    486 ,   58 ,  10-13 ,      16 ,      42,
   Jul22 ,    473 ,   47 ,   8-11 ,      16 ,      31,
   Aug22 ,    429 ,   36 ,   7-10 ,      12 ,      24,
   Sep22 ,    366 ,   39 ,   9-12 ,      24 ,      15,
   Oct22 ,    314 ,   28 ,   7-10 ,      16 ,      12,
   Nov22 ,    294 ,   32 ,   9-13 ,      11 ,      21,
   Dec22 ,    297 ,   30 ,   8-12 ,      10 ,      20,
   Jan23 ,    285 ,   27 ,   8-11 ,       6 ,      21,
   Feb23 ,    275 ,   20 ,   6- 9 ,      10 ,      10,
   Mar23 ,    267 ,   20 ,   6- 9 ,       8 ,      12,
   Apr23 ,    253 ,   13 ,   4- 7 ,       6 ,       7,
   May23 ,    253 ,   22 ,   7-10 ,      11 ,      11,
   Jun23 ,    264 ,   20 ,   6- 9 ,       4 ,      16,
   Jul23 ,    272 ,   25 ,   7-11 ,      11 ,      14,
   Aug23 ,    294 ,   20 ,   5- 8 ,      11 ,       9,
   Sep23 ,    298 ,   33 ,   9-13 ,      10 ,      23,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    581 , 2204 ,   6- 6 ,    1523 ,     681,
 Percent ,        ,      ,        ,    ***% ,    117%,
