"ID","CBRD","BDAT","FDAT","LACT","FTDAT","XLAME","LLAME","LMREM","Event","DIM","Date","Remark","Protocols","Technician",
         2 ,H    ,01/01/19,04/08/22,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 278 ,01/11/23,ORBEN           ,ORBENIN         ,,
         4 ,H    ,07/31/18,06/20/20,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 354 ,06/09/21,ORBEN           ,ORBENIN         ,,
         6 ,H    ,00000000 ,10/26/18,   3 ,04/08/19,    1 ,    5 ,D        ,DRY        , 396 ,11/26/19,ALBADRY         ,ALBADRY         ,,
         6 ,H    ,00000000 ,02/27/20,   4 ,11/02/20,    3 ,    6 ,D        ,SOLD       , 314 ,01/06/21,CAR4            ,                ,,
         7 ,H    ,00000000 ,01/26/18,   5 ,04/02/18,    1 ,    4 ,TBLOCK   ,DRY        , 298 ,11/20/18,ORBEN           ,ORBENIN         ,,
         7 ,H    ,00000000 ,01/16/19,   6 ,12/23/19,    1 ,    5 ,TBLOCK   ,SOLD       , 420 ,03/11/20,CAR4            ,                ,,
         9 ,H    ,08/04/12,01/13/18,   4 ,04/08/19,    3 ,    1 ,D        ,DRY        , 451 ,04/09/19,SPDC            ,SPCDC           ,,
         9 ,H    ,08/04/12,07/02/19,   5 ,04/28/20,    2 ,    4 ,EXN4.30  ,DRY        , 308 ,05/05/20,ALBADRY         ,ALBADRY         ,,
         9 ,H    ,08/04/12,07/16/20,   6 ,08/31/20,    1 ,    5 ,TBLOCK   ,DIED       ,  52 ,09/06/20,BLOAT           ,                ,,
        10 ,H    ,08/01/18,08/25/20,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 351 ,08/11/21,ORBEN           ,ORBENIN         ,,
        10 ,H    ,08/01/18,10/03/21,   2 ,00000000 ,    0 ,    0 ,-        ,DRY        , 290 ,07/20/22,ORBEN           ,ORBENIN         ,,
        10 ,H    ,08/01/18,10/03/22,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 105 ,01/16/23,CAR4            ,                ,,
        11 ,H    ,12/15/18,10/20/20,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 316 ,09/01/21,ORBEN           ,ORBENIN         ,,
        11 ,H    ,12/15/18,11/03/21,   2 ,00000000 ,    0 ,    0 ,-        ,DRY        , 329 ,09/28/22,ORBEN           ,ORBENIN         ,,
        12 ,H    ,01/20/19,02/24/21,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 428 ,04/28/22,ALBADRY         ,ALBADRY         ,,
        12 ,H    ,01/20/19,07/16/22,   2 ,00000000 ,    0 ,    0 ,-        ,DRY        , 402 ,08/22/23,ALBADRY         ,ALBADRY         ,,
        13 ,X    ,08/01/18,07/26/20,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 276 ,04/28/21,ALBADRY         ,ALBADRY         ,,
        15 ,H    ,08/01/18,06/01/20,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 443 ,08/18/21,ORBEN           ,ORBENIN         ,,
        15 ,H    ,08/01/18,10/20/21,   2 ,00000000 ,    0 ,    0 ,-        ,DRY        , 461 ,01/24/23,ORBEN           ,ORBENIN         ,,
        15 ,H    ,08/01/18,03/28/23,   3 ,00000000 ,    0 ,    0 ,-        ,DIED       ,  10 ,04/07/23,DOWN            ,                ,,
        16 ,H    ,08/01/18,06/05/20,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 369 ,06/09/21,ORBEN           ,ORBENIN         ,,
        16 ,H    ,08/01/18,08/10/21,   2 ,00000000 ,    0 ,    0 ,-        ,DRY        , 351 ,07/27/22,ORBEN           ,ORBENIN         ,,
        16 ,H    ,08/01/18,09/28/22,   3 ,04/03/23,    1 ,    0 ,TETDLF   ,DRY        , 286 ,07/11/23,ALBADRY         ,ALBADRY         ,,
        19 ,H    ,02/07/19,01/15/21,   1 ,02/18/21,    1 ,    0 ,TRIM     ,DRY        , 369 ,01/19/22,ORBEN           ,ORBENIN         ,,
        19 ,H    ,02/07/19,03/19/22,   2 ,00000000 ,    0 ,    1 ,-        ,DRY        , 277 ,12/21/22,ORBEN           ,ORBENIN         ,,
        19 ,H    ,02/07/19,02/26/23,   3 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 190 ,09/04/23,CAR3            ,                ,,
        20 ,H    ,10/06/12,01/06/18,   4 ,09/24/18,    1 ,    2 ,TRIM     ,DRY        , 346 ,12/18/18,ORBEN           ,ORBENIN         ,,
        20 ,H    ,10/06/12,01/28/19,   5 ,06/14/19,    1 ,    3 ,TRIM     ,DRY        , 316 ,12/10/19,ALBA.MS         ,ALBADRY.MS      ,,
        20 ,H    ,10/06/12,02/24/20,   6 ,07/27/20,    1 ,    4 ,TRIM     ,DRY        , 323 ,01/12/21,ALBADRY         ,ALBADRY         ,,
        20 ,H    ,10/06/12,04/11/21,   7 ,08/23/21,    1 ,    5 ,BLKXRR   ,SOLD       , 145 ,09/03/21,LEGS            ,                ,,
        21 ,H    ,08/05/18,08/15/20,   1 ,04/01/21,    1 ,    0 ,TRIM     ,DRY        , 557 ,02/23/22,ORBEN           ,ORBENIN         ,,
        21 ,H    ,08/05/18,04/15/22,   2 ,00000000 ,    0 ,    1 ,-        ,DRY        , 320 ,03/01/23,ORBEN           ,ORBENIN         ,,
        23 ,H    ,10/14/12,12/26/17,   4 ,00000000 ,    0 ,    1 ,-        ,DRY        , 301 ,10/23/18,ORBEN           ,ORBENIN         ,,
        23 ,H    ,10/14/12,11/17/18,   5 ,00000000 ,    0 ,    1 ,-        ,SOLD       ,  86 ,02/11/19,CAR4            ,                ,,
        25 ,H    ,12/15/18,02/25/21,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 279 ,12/01/21,ORBEN           ,ORBENIN         ,,
        25 ,H    ,12/15/18,02/02/22,   2 ,00000000 ,    0 ,    0 ,-        ,DRY        , 301 ,11/30/22,ORBEN           ,ORBENIN         ,,
        25 ,H    ,12/15/18,01/31/23,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 230 ,09/18/23,COL             ,                ,,
        26 ,H    ,08/05/18,07/19/20,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 283 ,04/28/21,ALBADRY         ,ALBADRY         ,,
        26 ,H    ,08/05/18,07/14/21,   2 ,00000000 ,    0 ,    0 ,-        ,DRY        , 350 ,06/29/22,ORBEN           ,ORBENIN         ,,
        27 ,H    ,08/06/18,07/07/20,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 267 ,03/31/21,ALBADRY         ,ALBADRY         ,,
        27 ,H    ,08/06/18,06/21/21,   2 ,00000000 ,    0 ,    0 ,-        ,DRY        , 477 ,10/11/22,ORBEN           ,ORBENIN         ,,
