"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,    573 ,   60 ,   9-12 ,      60 ,       0,
   Nov18 ,    574 ,   39 ,   6- 8 ,      39 ,       0,
   Dec18 ,    588 ,   42 ,   6- 8 ,      42 ,       0,
   Jan19 ,    627 ,   39 ,   5- 7 ,      39 ,       0,
   Feb19 ,    648 ,   42 ,   5- 7 ,      42 ,       0,
   Mar19 ,    645 ,   60 ,   8-10 ,      60 ,       0,
   Apr19 ,    619 ,   46 ,   6- 8 ,      46 ,       0,
   May19 ,    609 ,   60 ,   9-11 ,      60 ,       0,
   Jun19 ,    589 ,   55 ,   8-10 ,      55 ,       0,
   Jul19 ,    605 ,   51 ,   7- 9 ,      51 ,       0,
   Aug19 ,    693 ,   62 ,   8-10 ,      62 ,       0,
   Sep19 ,    768 ,   79 ,   9-11 ,      79 ,       0,
   Oct19 ,    788 ,   69 ,   8-10 ,      69 ,       0,
   Nov19 ,    812 ,   72 ,   8-10 ,      72 ,       0,
   Dec19 ,    835 ,   50 ,   5- 7 ,      50 ,       0,
   Jan20 ,    870 ,   61 ,   6- 8 ,      61 ,       0,
   Feb20 ,    937 ,   58 ,   5- 7 ,      58 ,       0,
   Mar20 ,    948 ,   50 ,   5- 6 ,      50 ,       0,
   Apr20 ,    905 ,   84 ,   8-10 ,      84 ,       0,
   May20 ,    835 ,   78 ,   8-10 ,      78 ,       0,
   Jun20 ,    764 ,   78 ,   9-11 ,      78 ,       0,
   Jul20 ,    737 ,   77 ,   9-11 ,      77 ,       0,
   Aug20 ,    725 ,   72 ,   9-11 ,      72 ,       0,
   Sep20 ,    702 ,   57 ,   7- 9 ,      57 ,       0,
   Oct20 ,    691 ,   81 ,  10-13 ,      81 ,       0,
   Nov20 ,    705 ,   65 ,   8-10 ,      65 ,       0,
   Dec20 ,    728 ,   48 ,   6- 7 ,      48 ,       0,
   Jan21 ,    732 ,   39 ,   4- 6 ,      39 ,       0,
   Feb21 ,    749 ,   51 ,   6- 8 ,      51 ,       0,
   Mar21 ,    763 ,   68 ,   8-10 ,      68 ,       0,
   Apr21 ,    764 ,   55 ,   6- 8 ,      55 ,       0,
   May21 ,    753 ,   74 ,   9-11 ,      74 ,       0,
   Jun21 ,    725 ,   51 ,   6- 8 ,      51 ,       0,
   Jul21 ,    713 ,   57 ,   7- 9 ,      57 ,       0,
   Aug21 ,    710 ,   74 ,   9-11 ,      61 ,      13,
   Sep21 ,    722 ,   59 ,   7- 9 ,      52 ,       7,
   Oct21 ,    732 ,   42 ,   5- 7 ,      42 ,       0,
   Nov21 ,    760 ,   30 ,   3- 5 ,      30 ,       0,
   Dec21 ,    815 ,   22 ,   2- 3 ,      21 ,       1,
   Jan22 ,    845 ,   41 ,   4- 6 ,      38 ,       3,
   Feb22 ,    866 ,   52 ,   5- 7 ,      47 ,       5,
   Mar22 ,    899 ,   31 ,   3- 4 ,      25 ,       6,
   Apr22 ,    908 ,   50 ,   5- 6 ,      46 ,       4,
   May22 ,    928 ,   45 ,   4- 6 ,      40 ,       5,
   Jun22 ,    936 ,   29 ,   3- 4 ,      26 ,       3,
   Jul22 ,    928 ,   51 ,   5- 6 ,      45 ,       6,
   Aug22 ,    876 ,   60 ,   6- 8 ,      56 ,       4,
   Sep22 ,    860 ,   73 ,   7- 9 ,      67 ,       6,
   Oct22 ,    878 ,   57 ,   6- 7 ,      55 ,       2,
   Nov22 ,    941 ,   36 ,   3- 4 ,      35 ,       1,
   Dec22 ,    956 ,   41 ,   4- 5 ,      39 ,       2,
   Jan23 ,    960 ,   68 ,   6- 8 ,      66 ,       2,
   Feb23 ,    958 ,   47 ,   4- 6 ,      42 ,       5,
   Mar23 ,    973 ,   43 ,   4- 5 ,      39 ,       4,
   Apr23 ,    975 ,   27 ,   2- 3 ,      27 ,       0,
   May23 ,    938 ,   49 ,   4- 6 ,      47 ,       2,
   Jun23 ,    834 ,   64 ,   7- 9 ,      56 ,       8,
   Jul23 ,    779 ,   49 ,   5- 7 ,      45 ,       4,
   Aug23 ,    804 ,   74 ,   8-10 ,      70 ,       4,
   Sep23 ,    833 ,   59 ,   6- 8 ,      52 ,       7,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    789 , 3303 ,   7- 7 ,    3199 ,     104,
 Percent ,        ,      ,        ,    ***% ,     13%,
