"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Sep19 ,   1161 ,    5 ,   0- 1 ,       0 ,       5,
   Oct19 ,   1189 ,    7 ,   0- 1 ,       0 ,       7,
   Nov19 ,   1188 ,    3 ,   0- 0 ,       0 ,       3,
   Dec19 ,   1120 ,    2 ,   0- 0 ,       0 ,       2,
   Jan20 ,   1064 ,    2 ,   0- 0 ,       0 ,       2,
   Feb20 ,   1061 ,    4 ,   0- 1 ,       0 ,       4,
   Mar20 ,   1076 ,  136 ,  11-13 ,      87 ,      49,
   Apr20 ,   1029 ,  225 ,  20-23 ,     190 ,      35,
   May20 ,    902 ,  274 ,  28-31 ,     244 ,      30,
   Jun20 ,    838 ,  213 ,  24-27 ,     182 ,      31,
   Jul20 ,    887 ,  136 ,  14-16 ,      95 ,      41,
   Aug20 ,   1001 ,  145 ,  13-15 ,      79 ,      66,
   Sep20 ,   1058 ,   91 ,   8- 9 ,      54 ,      37,
   Oct20 ,   1069 ,   45 ,   4- 5 ,      28 ,      17,
   Nov20 ,   1051 ,  102 ,   9-10 ,      58 ,      44,
   Dec20 ,   1013 ,  211 ,  19-22 ,     135 ,      76,
   Jan21 ,    964 ,  173 ,  16-19 ,      97 ,      76,
   Feb21 ,    959 ,   99 ,   9-11 ,      69 ,      30,
   Mar21 ,    959 ,  164 ,  16-18 ,     129 ,      35,
   Apr21 ,    893 ,  175 ,  18-21 ,     128 ,      47,
   May21 ,    848 ,  206 ,  22-25 ,     158 ,      48,
   Jun21 ,    829 ,  166 ,  18-21 ,     123 ,      43,
   Jul21 ,    999 ,  162 ,  15-17 ,     116 ,      46,
   Aug21 ,   1317 ,  147 ,  10-12 ,     110 ,      37,
   Sep21 ,   1480 ,  133 ,   8-10 ,     111 ,      22,
   Oct21 ,   1549 ,  158 ,   9-11 ,      88 ,      70,
   Nov21 ,   1686 ,  181 ,  10-11 ,     104 ,      77,
   Dec21 ,   1818 ,  230 ,  12-13 ,     130 ,     100,
   Jan22 ,   1973 ,  202 ,   9-11 ,     118 ,      84,
   Feb22 ,   2274 ,  163 ,   7- 8 ,      81 ,      82,
   Mar22 ,   2630 ,  216 ,   8- 9 ,     146 ,      70,
   Apr22 ,   3091 ,  225 ,   7- 8 ,     159 ,      66,
   May22 ,   3679 ,  572 ,  15-16 ,     521 ,      51,
   Jun22 ,   4380 ,  408 ,   9-10 ,     251 ,     157,
   Jul22 ,   5333 ,  565 ,  10-11 ,     102 ,     463,
   Aug22 ,   5908 ,  821 ,  13-14 ,     231 ,     590,
   Sep22 ,   6103 ,  772 ,  12-13 ,     252 ,     520,
   Oct22 ,   6191 , 1022 ,  16-17 ,     290 ,     732,
   Nov22 ,   6352 ,  873 ,  13-14 ,     433 ,     440,
   Dec22 ,   6463 , 1008 ,  15-16 ,     526 ,     482,
   Jan23 ,   6492 ,  822 ,  12-13 ,     486 ,     336,
   Feb23 ,   6556 ,  700 ,  10-11 ,     431 ,     269,
   Mar23 ,   6320 ,  327 ,   5- 5 ,      57 ,     270,
   Apr23 ,   5930 ,  596 ,  10-10 ,     283 ,     313,
   May23 ,   5995 ,  768 ,  12-13 ,     463 ,     305,
   Jun23 ,   5941 ,  926 ,  15-16 ,     691 ,     235,
   Jul23 ,   6143 , 1178 ,  18-19 ,     910 ,     268,
   Aug23 ,   6487 , 1054 ,  16-16 ,     736 ,     318,
   Sep23 ,   6613 , 1298 ,  19-20 ,     867 ,     431,
   Oct23 ,   6628 ,  119 ,  51-58 ,      94 ,      25,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   2429 ,18230 ,  12-13 ,   10643 ,    7587,
 Percent ,        ,      ,        ,    ***% ,    ***%,
