"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Jan19 ,    511 ,   51 ,   9-11 ,       0 ,      51,
   Feb19 ,    533 ,   85 ,  14-17 ,       0 ,      85,
   Mar19 ,    538 ,  141 ,  24-28 ,       0 ,     141,
   Apr19 ,    542 ,  106 ,  18-21 ,       0 ,     106,
   May19 ,    552 ,  113 ,  18-22 ,       0 ,     113,
   Jun19 ,    580 ,  114 ,  18-21 ,       0 ,     114,
   Jul19 ,    601 ,  117 ,  18-21 ,       0 ,     117,
   Aug19 ,    630 ,  102 ,  15-17 ,       0 ,     102,
   Sep19 ,    668 ,  149 ,  20-24 ,       0 ,     149,
   Oct19 ,    704 ,  134 ,  17-20 ,       0 ,     134,
   Nov19 ,    720 ,  131 ,  17-19 ,       0 ,     131,
   Dec19 ,    759 ,  123 ,  15-17 ,       0 ,     123,
   Jan20 ,    826 ,  117 ,  13-15 ,       0 ,     117,
   Feb20 ,    890 ,  110 ,  11-13 ,       0 ,     110,
   Mar20 ,    951 ,  147 ,  14-16 ,       0 ,     147,
   Apr20 ,   1018 ,  129 ,  11-14 ,       0 ,     129,
   May20 ,   1070 ,  110 ,   9-11 ,       0 ,     110,
   Jun20 ,   1136 ,  174 ,  14-16 ,       0 ,     174,
   Jul20 ,   1197 ,  162 ,  12-14 ,       0 ,     162,
   Aug20 ,   1217 ,  132 ,  10-12 ,       0 ,     132,
   Sep20 ,   1222 ,  116 ,   9-10 ,       0 ,     116,
   Oct20 ,   1260 ,  232 ,  17-19 ,     127 ,     105,
   Nov20 ,   1268 ,  176 ,  13-15 ,     117 ,      59,
   Dec20 ,   1246 ,  259 ,  19-22 ,     167 ,      92,
   Jan21 ,   1256 ,  321 ,  24-26 ,     216 ,     105,
   Feb21 ,   1220 ,  187 ,  14-16 ,     129 ,      58,
   Mar21 ,   1164 ,  358 ,  29-32 ,     308 ,      50,
   Apr21 ,   1154 ,  322 ,  26-29 ,     274 ,      48,
   May21 ,   1128 ,  254 ,  21-23 ,     212 ,      42,
   Jun21 ,   1067 ,  151 ,  13-15 ,     130 ,      21,
   Jul21 ,   1029 ,  240 ,  22-24 ,     195 ,      45,
   Aug21 ,   1003 ,  148 ,  13-16 ,     117 ,      31,
   Sep21 ,   1039 ,  193 ,  17-19 ,     146 ,      47,
   Oct21 ,   1087 ,  215 ,  18-21 ,     163 ,      52,
   Nov21 ,   1087 ,  134 ,  11-13 ,      96 ,      38,
   Dec21 ,   1099 ,  198 ,  17-19 ,     155 ,      43,
   Jan22 ,   1118 ,  240 ,  20-22 ,     190 ,      50,
   Feb22 ,   1099 ,  178 ,  15-17 ,     147 ,      31,
   Mar22 ,   1059 ,  423 ,  38-41 ,     319 ,     104,
   Apr22 ,   1083 ,  180 ,  15-17 ,     131 ,      49,
   May22 ,   1091 ,  234 ,  20-22 ,     189 ,      45,
   Jun22 ,   1122 ,  174 ,  14-16 ,     132 ,      42,
   Jul22 ,   1137 ,  126 ,  10-12 ,      98 ,      28,
   Aug22 ,   1135 ,  117 ,   9-11 ,      66 ,      51,
   Sep22 ,   1185 ,  242 ,  19-21 ,     145 ,      97,
   Oct22 ,   1203 ,  149 ,  11-13 ,      88 ,      61,
   Nov22 ,   1196 ,  145 ,  11-13 ,     105 ,      40,
   Dec22 ,   1191 ,  143 ,  11-13 ,     109 ,      34,
   Jan23 ,   1226 ,  131 ,  10-11 ,      83 ,      48,
   Feb23 ,   1222 ,  158 ,  12-14 ,     107 ,      51,
   Mar23 ,   1227 ,  207 ,  16-18 ,     111 ,      96,
   Apr23 ,   1297 ,  166 ,  12-14 ,     100 ,      66,
   May23 ,   1364 ,  157 ,  10-12 ,     100 ,      57,
   Jun23 ,   1387 ,  165 ,  11-13 ,     104 ,      61,
   Jul23 ,   1362 ,  137 ,   9-11 ,      76 ,      61,
   Aug23 ,   1351 ,  323 ,  22-25 ,     208 ,     115,
   Sep23 ,   1336 ,  277 ,  19-21 ,     163 ,     114,
   Oct23 ,   1354 ,  367 ,  25-28 ,     232 ,     135,
   Nov23 ,   1359 ,  320 ,  22-24 ,     225 ,      95,
   Dec23 ,   1386 ,  267 ,  18-20 ,     181 ,      86,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   1058 ,10977 ,  17-17 ,    5961 ,    5016,
 Percent ,        ,      ,        ,    ***% ,    ***%,
