"Dates","Milking","Total","68% CI","LAME",
   Oct18 ,      9 ,    3 ,    -   ,       3,
   Aug19 ,      0 ,    1 ,    -   ,       1,
   Sep19 ,      2 ,    1 ,    -   ,       1,
   Nov19 ,      2 ,    1 ,    -   ,       1,
   Mar20 ,      2 ,    1 ,    -   ,       1,
   May23 ,      1 ,    1 ,    -   ,       1,
======== ,======= ,===== ,======= ,========,
   Total ,      1 ,    8 ,   7-14 ,       8,
