"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,    742 ,   30 ,   3- 5 ,      30 ,       0,
   Nov18 ,    679 ,   35 ,   4- 6 ,      35 ,       0,
   Dec18 ,    638 ,   18 ,   2- 3 ,      18 ,       0,
   Jan19 ,    615 ,   33 ,   4- 6 ,      33 ,       0,
   Feb19 ,    608 ,   33 ,   4- 6 ,      33 ,       0,
   Mar19 ,    618 ,   26 ,   3- 5 ,      26 ,       0,
   Apr19 ,    624 ,   24 ,   3- 5 ,      24 ,       0,
   May19 ,    642 ,   30 ,   4- 5 ,      30 ,       0,
   Jun19 ,    671 ,   55 ,   7- 9 ,      55 ,       0,
   Jul19 ,    687 ,   36 ,   4- 6 ,      36 ,       0,
   Aug19 ,    750 ,   39 ,   4- 6 ,      39 ,       0,
   Sep19 ,    865 ,   60 ,   6- 8 ,      60 ,       0,
   Oct19 ,    929 ,   71 ,   7- 8 ,      71 ,       0,
   Nov19 ,    982 ,   29 ,   2- 3 ,      29 ,       0,
   Dec19 ,   1013 ,   36 ,   3- 4 ,      36 ,       0,
   Jan20 ,   1042 ,   44 ,   4- 5 ,      44 ,       0,
   Feb20 ,   1092 ,   35 ,   3- 4 ,      35 ,       0,
   Mar20 ,   1120 ,   36 ,   3- 4 ,      36 ,       0,
   Apr20 ,   1131 ,   67 ,   5- 7 ,      67 ,       0,
   May20 ,   1125 ,   63 ,   5- 6 ,      63 ,       0,
   Jun20 ,   1065 ,   79 ,   7- 8 ,      79 ,       0,
   Jul20 ,    981 ,   91 ,   8-10 ,      91 ,       0,
   Aug20 ,    946 ,   58 ,   5- 7 ,      58 ,       0,
   Sep20 ,    981 ,   67 ,   6- 8 ,      67 ,       0,
   Oct20 ,    992 ,   94 ,   8-10 ,      94 ,       0,
   Nov20 ,    951 ,   42 ,   4- 5 ,      42 ,       0,
   Dec20 ,    928 ,   39 ,   4- 5 ,      39 ,       0,
   Jan21 ,    901 ,   52 ,   5- 6 ,      52 ,       0,
   Feb21 ,    886 ,   30 ,   3- 4 ,      30 ,       0,
   Mar21 ,    879 ,   51 ,   5- 7 ,      51 ,       0,
   Apr21 ,    872 ,   22 ,   2- 3 ,      22 ,       0,
   May21 ,    845 ,   10 ,   1- 2 ,      10 ,       0,
   Jun21 ,    851 ,   22 ,   2- 3 ,      22 ,       0,
   Jul21 ,    856 ,   35 ,   3- 5 ,      29 ,       6,
   Aug21 ,    911 ,   34 ,   3- 4 ,      29 ,       5,
   Sep21 ,    974 ,   31 ,   3- 4 ,      28 ,       3,
   Oct21 ,   1007 ,   31 ,   3- 4 ,      30 ,       1,
   Nov21 ,   1021 ,   28 ,   2- 3 ,      24 ,       4,
   Dec21 ,   1008 ,   41 ,   3- 5 ,      29 ,      12,
   Jan22 ,    998 ,   32 ,   3- 4 ,      29 ,       3,
   Feb22 ,    991 ,   23 ,   2- 3 ,      16 ,       7,
   Mar22 ,   1010 ,   36 ,   3- 4 ,      32 ,       4,
   Apr22 ,   1003 ,   34 ,   3- 4 ,      31 ,       3,
   May22 ,    977 ,   21 ,   2- 3 ,      18 ,       3,
   Jun22 ,    970 ,   25 ,   2- 3 ,      20 ,       5,
   Jul22 ,    929 ,   27 ,   2- 3 ,      24 ,       3,
   Aug22 ,    892 ,   23 ,   2- 3 ,      20 ,       3,
   Sep22 ,    857 ,   20 ,   2- 3 ,      20 ,       0,
   Oct22 ,    790 ,   15 ,   1- 2 ,      15 ,       0,
   Nov22 ,    765 ,   15 ,   1- 2 ,      15 ,       0,
   Dec22 ,    728 ,   11 ,   1- 2 ,      11 ,       0,
   Jan23 ,    688 ,   12 ,   1- 2 ,      11 ,       1,
   Feb23 ,    669 ,   26 ,   3- 5 ,      26 ,       0,
   Mar23 ,    631 ,   15 ,   2- 3 ,      11 ,       4,
   Apr23 ,    649 ,   11 ,   1- 2 ,      11 ,       0,
   May23 ,    645 ,   16 ,   2- 3 ,      16 ,       0,
   Jun23 ,    588 ,   21 ,   3- 4 ,      17 ,       4,
   Jul23 ,    590 ,   36 ,   5- 7 ,      36 ,       0,
   Aug23 ,    628 ,   35 ,   5- 6 ,      35 ,       0,
   Sep23 ,    610 ,   34 ,   5- 6 ,      33 ,       1,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    851 , 2145 ,   4- 4 ,    2073 ,      72,
 Percent ,        ,      ,        ,    ***% ,      8%,
