"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Oct18 ,   2754 ,  782 ,  27-29 ,     703 ,      79,
   Nov18 ,   2615 ,  506 ,  18-20 ,     454 ,      52,
   Dec18 ,   2524 ,  535 ,  20-22 ,     478 ,      57,
   Jan19 ,   2452 ,  735 ,  29-30 ,     663 ,      72,
   Feb19 ,   2459 ,  583 ,  22-24 ,     473 ,     110,
   Mar19 ,   2404 ,  764 ,  30-32 ,     644 ,     120,
   Apr19 ,   2389 ,  575 ,  23-25 ,     457 ,     118,
   May19 ,   2454 ,  715 ,  28-30 ,     577 ,     138,
   Jun19 ,   2467 ,  574 ,  22-24 ,     464 ,     110,
   Jul19 ,   2434 ,  554 ,  22-23 ,     441 ,     113,
   Aug19 ,   2489 ,  652 ,  25-27 ,     527 ,     125,
   Sep19 ,   2458 ,  519 ,  20-22 ,     398 ,     121,
   Oct19 ,   2456 ,  573 ,  22-24 ,     441 ,     132,
   Nov19 ,   2412 ,  694 ,  27-29 ,     550 ,     144,
   Dec19 ,   2307 ,  540 ,  22-24 ,     447 ,      93,
   Jan20 ,   2235 ,  650 ,  28-30 ,     488 ,     162,
   Feb20 ,   2249 ,  562 ,  24-25 ,     442 ,     120,
   Mar20 ,   2260 ,  741 ,  31-33 ,     574 ,     167,
   Apr20 ,   2242 ,  726 ,  31-33 ,     581 ,     145,
   May20 ,   2267 ,  575 ,  24-26 ,     440 ,     135,
   Jun20 ,   2350 ,  590 ,  24-26 ,     449 ,     141,
   Jul20 ,   2407 ,  622 ,  25-26 ,     509 ,     113,
   Aug20 ,   2465 ,  602 ,  23-25 ,     443 ,     159,
   Sep20 ,   2483 ,  583 ,  22-24 ,     430 ,     153,
   Oct20 ,   2528 ,  706 ,  27-28 ,     564 ,     142,
   Nov20 ,   2560 ,  593 ,  22-24 ,     450 ,     143,
   Dec20 ,   2603 ,  740 ,  27-29 ,     574 ,     166,
   Jan21 ,   2637 ,  627 ,  23-24 ,     458 ,     169,
   Feb21 ,   2677 ,  556 ,  20-21 ,     425 ,     131,
   Mar21 ,   2665 ,  782 ,  28-30 ,     586 ,     196,
   Apr21 ,   2623 ,  694 ,  25-27 ,     554 ,     140,
   May21 ,   2640 ,  702 ,  25-27 ,     586 ,     116,
   Jun21 ,   2658 ,  638 ,  23-24 ,     544 ,      94,
   Jul21 ,   2690 ,  680 ,  24-26 ,     537 ,     143,
   Aug21 ,   2726 ,  679 ,  24-25 ,     542 ,     137,
   Sep21 ,   2735 ,  608 ,  21-23 ,     479 ,     129,
   Oct21 ,   2757 ,  847 ,  29-31 ,     697 ,     150,
   Nov21 ,   2778 ,  878 ,  30-32 ,     725 ,     153,
   Dec21 ,   2825 ,  859 ,  29-31 ,     745 ,     114,
   Jan22 ,   2885 ,  590 ,  19-21 ,     509 ,      81,
   Feb22 ,   2840 ,  582 ,  19-21 ,     499 ,      83,
   Mar22 ,   2809 ,  741 ,  25-27 ,     638 ,     103,
   Apr22 ,   2834 ,  684 ,  23-25 ,     590 ,      94,
   May22 ,   2858 ,  792 ,  26-28 ,     684 ,     108,
   Jun22 ,   2921 ,  781 ,  26-27 ,     698 ,      83,
   Jul22 ,   2884 ,  662 ,  22-23 ,     582 ,      80,
   Aug22 ,   2875 ,  532 ,  17-19 ,     450 ,      82,
   Sep22 ,   2924 ,  619 ,  20-22 ,     498 ,     121,
   Oct22 ,   2924 ,  827 ,  27-29 ,     718 ,     109,
   Nov22 ,   2852 ,  389 ,  13-14 ,     311 ,      78,
   Dec22 ,   2864 ,  365 ,  12-13 ,     296 ,      69,
   Jan23 ,   2923 ,  387 ,  12-14 ,     322 ,      65,
   Feb23 ,   2903 ,  390 ,  13-14 ,     329 ,      61,
   Mar23 ,   2844 ,  526 ,  17-19 ,     441 ,      85,
   Apr23 ,   2756 ,  502 ,  17-19 ,     417 ,      85,
   May23 ,   2692 ,  599 ,  21-23 ,     474 ,     125,
   Jun23 ,   2694 ,  480 ,  17-18 ,     312 ,     168,
   Jul23 ,   2648 ,  412 ,  15-16 ,     276 ,     136,
   Aug23 ,   2596 ,  382 ,  14-15 ,     255 ,     127,
   Sep23 ,   2622 ,  264 ,   9-11 ,     160 ,     104,
   Oct23 ,   2617 ,  201 ,  12-14 ,     148 ,      53,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   2621 ,37248 ,  23-24 ,   30146 ,    7102,
 Percent ,        ,      ,        ,    ***% ,    ***%,
