"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Feb20 ,     81 ,    1 ,   0- 3 ,       0 ,       1,
   Mar20 ,    147 ,   14 ,   7-12 ,       1 ,      13,
   Apr20 ,    198 ,   11 ,   4- 7 ,       3 ,       8,
   May20 ,    241 ,   13 ,   4- 7 ,       9 ,       4,
   Jun20 ,    334 ,   21 ,   5- 8 ,       6 ,      15,
   Jul20 ,    511 ,   39 ,   6- 9 ,      10 ,      29,
   Aug20 ,    696 ,   72 ,   9-11 ,      21 ,      51,
   Sep20 ,    791 ,   45 ,   5- 6 ,      15 ,      30,
   Oct20 ,    831 ,   22 ,   2- 3 ,       9 ,      13,
   Nov20 ,    840 ,   77 ,   8-10 ,      39 ,      38,
   Dec20 ,    821 ,  183 ,  21-23 ,     112 ,      71,
   Jan21 ,    769 ,  139 ,  16-19 ,      77 ,      62,
   Feb21 ,    735 ,   72 ,   9-11 ,      50 ,      22,
   Mar21 ,    709 ,  109 ,  14-16 ,      81 ,      28,
   Apr21 ,    666 ,  139 ,  19-22 ,     101 ,      38,
   May21 ,    597 ,  179 ,  28-31 ,     139 ,      40,
   Jun21 ,    494 ,  137 ,  25-29 ,     106 ,      31,
   Jul21 ,    447 ,  109 ,  22-26 ,      86 ,      23,
   Aug21 ,    423 ,   86 ,  18-22 ,      70 ,      16,
   Sep21 ,    409 ,   60 ,  13-16 ,      52 ,       8,
   Oct21 ,    393 ,   55 ,  12-16 ,      38 ,      17,
   Nov21 ,    387 ,   49 ,  11-14 ,      27 ,      22,
   Dec21 ,    395 ,   46 ,  10-13 ,      23 ,      23,
   Jan22 ,    409 ,   43 ,   9-12 ,      23 ,      20,
   Feb22 ,    450 ,   44 ,   8-11 ,      26 ,      18,
   Mar22 ,    494 ,   54 ,   9-12 ,      38 ,      16,
   Apr22 ,    554 ,   37 ,   6- 8 ,      29 ,       8,
   May22 ,    586 ,  111 ,  17-20 ,     106 ,       5,
   Jun22 ,    559 ,   60 ,   9-12 ,      50 ,      10,
   Jul22 ,    665 ,   81 ,  11-13 ,      15 ,      66,
   Aug22 ,    764 ,  138 ,  16-19 ,      27 ,     111,
   Sep22 ,    779 ,   99 ,  11-14 ,      33 ,      66,
   Oct22 ,    783 ,  140 ,  16-19 ,      49 ,      91,
   Nov22 ,    818 ,  139 ,  15-18 ,      69 ,      70,
   Dec22 ,    853 ,  167 ,  18-21 ,     102 ,      65,
   Jan23 ,    892 ,  130 ,  13-16 ,      77 ,      53,
   Feb23 ,    988 ,   84 ,   8- 9 ,      47 ,      37,
   Mar23 ,   1093 ,   38 ,   3- 4 ,      10 ,      28,
   Apr23 ,   1245 ,   89 ,   6- 8 ,      37 ,      52,
   May23 ,   1696 ,  175 ,   9-11 ,      89 ,      86,
   Jun23 ,   2227 ,  255 ,  11-12 ,     172 ,      83,
   Jul23 ,   2636 ,  363 ,  13-14 ,     240 ,     123,
   Aug23 ,   3014 ,  385 ,  12-13 ,     234 ,     151,
   Sep23 ,   3260 ,  511 ,  15-16 ,     327 ,     184,
   Oct23 ,   3341 ,   56 ,  46-56 ,      46 ,      10,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    613 , 4877 ,  13-13 ,    2921 ,    1956,
 Percent ,        ,      ,        ,    ***% ,    ***%,
