"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,     99 ,   11 ,   8-14 ,      11 ,       0,
   Nov18 ,    113 ,    3 ,   1- 5 ,       3 ,       0,
   Dec18 ,    151 ,    1 ,   0- 2 ,       1 ,       0,
   Jan19 ,    214 ,    2 ,   0- 2 ,       2 ,       0,
   Feb19 ,    286 ,    1 ,   0- 1 ,       1 ,       0,
   May19 ,    562 ,    1 ,   0- 0 ,       1 ,       0,
   Jun19 ,    704 ,    1 ,   0- 0 ,       1 ,       0,
   Sep19 ,    173 ,    1 ,   0- 1 ,       1 ,       0,
   Dec19 ,    127 ,    2 ,   1- 3 ,       0 ,       2,
   Jan20 ,    131 ,    1 ,   0- 2 ,       1 ,       0,
   May20 ,    137 ,    1 ,   0- 2 ,       1 ,       0,
   Sep20 ,    214 ,    1 ,   0- 1 ,       1 ,       0,
   Jan21 ,    257 ,    1 ,   0- 1 ,       0 ,       1,
   Feb21 ,    226 ,    1 ,   0- 1 ,       1 ,       0,
   Aug21 ,    198 ,    5 ,   2- 4 ,       2 ,       3,
   Sep21 ,    189 ,    2 ,   1- 2 ,       1 ,       1,
   Oct21 ,    196 ,    9 ,   3- 6 ,       3 ,       6,
   Nov21 ,    194 ,    7 ,   2- 5 ,       2 ,       5,
   Dec21 ,    172 ,    4 ,   1- 4 ,       1 ,       3,
   Jan22 ,    155 ,    6 ,   3- 6 ,       0 ,       6,
   Mar22 ,    136 ,    5 ,   2- 6 ,       2 ,       3,
   Apr22 ,    168 ,    2 ,   1- 2 ,       2 ,       0,
   May22 ,    251 ,   10 ,   3- 5 ,       8 ,       2,
   Jun22 ,    310 ,    1 ,   0- 1 ,       0 ,       1,
   Jul22 ,    198 ,    2 ,   0- 2 ,       1 ,       1,
   Aug22 ,    241 ,    3 ,   1- 2 ,       2 ,       1,
   Oct22 ,    274 ,    6 ,   1- 3 ,       1 ,       5,
   Nov22 ,    290 ,    6 ,   1- 3 ,       3 ,       3,
   Dec22 ,    346 ,    4 ,   1- 2 ,       3 ,       1,
   Jan23 ,    439 ,    4 ,   1- 1 ,       4 ,       0,
   Feb23 ,    569 ,    9 ,   1- 2 ,       4 ,       5,
   Mar23 ,    674 ,    9 ,   1- 2 ,       5 ,       4,
   Apr23 ,    763 ,    8 ,   1- 1 ,       3 ,       5,
   May23 ,    935 ,   12 ,   1- 2 ,       2 ,      10,
   Jun23 ,   1073 ,   13 ,   1- 2 ,       4 ,       9,
   Jul23 ,   1269 ,   23 ,   1- 2 ,       5 ,      18,
   Aug23 ,   1487 ,   37 ,   2- 3 ,      12 ,      25,
   Sep23 ,   1717 ,   44 ,   2- 3 ,      19 ,      25,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    359 ,  259 ,   1- 1 ,     114 ,     145,
 Percent ,        ,      ,        ,     32% ,     40%,
