"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,   1879 ,  159 ,   8- 9 ,     159 ,       0,
   Nov18 ,   1924 ,  112 ,   5- 6 ,     112 ,       0,
   Dec18 ,   1931 ,  137 ,   6- 8 ,      27 ,     110,
   Jan19 ,   1972 ,  107 ,   5- 6 ,       3 ,     104,
   Feb19 ,   2012 ,   96 ,   4- 5 ,       1 ,      95,
   Mar19 ,   2006 ,  114 ,   5- 6 ,       7 ,     107,
   Apr19 ,   1987 ,   95 ,   4- 5 ,       5 ,      90,
   May19 ,   1990 ,  116 ,   5- 6 ,      11 ,     105,
   Jun19 ,   1964 ,  125 ,   6- 7 ,       5 ,     120,
   Jul19 ,   1946 ,  164 ,   8- 9 ,       2 ,     162,
   Aug19 ,   1887 ,  205 ,  10-11 ,       1 ,     204,
   Sep19 ,   1911 ,  209 ,  10-11 ,       9 ,     200,
   Oct19 ,   1942 ,  207 ,  10-11 ,      20 ,     187,
   Nov19 ,   1934 ,  143 ,   7- 8 ,       5 ,     138,
   Dec19 ,   1891 ,  117 ,   6- 7 ,       3 ,     114,
   Jan20 ,   1884 ,  113 ,   5- 6 ,       4 ,     109,
   Feb20 ,   1870 ,   96 ,   5- 6 ,       7 ,      89,
   Mar20 ,   1884 ,  128 ,   6- 7 ,       6 ,     122,
   Apr20 ,   1875 ,  112 ,   5- 6 ,       7 ,     105,
   May20 ,   1878 ,  117 ,   6- 7 ,       7 ,     110,
   Jun20 ,   1873 ,  116 ,   6- 7 ,       7 ,     109,
   Jul20 ,   1862 ,  141 ,   7- 8 ,      14 ,     127,
   Aug20 ,   1810 ,  167 ,   8-10 ,       3 ,     164,
   Sep20 ,   1784 ,  181 ,   9-11 ,      11 ,     170,
   Oct20 ,   1782 ,  164 ,   8-10 ,       3 ,     161,
   Nov20 ,   1813 ,  170 ,   9-10 ,       6 ,     164,
   Dec20 ,   1843 ,  122 ,   6- 7 ,       3 ,     119,
   Jan21 ,   1839 ,   87 ,   4- 5 ,       3 ,      84,
   Feb21 ,   1813 ,   88 ,   4- 5 ,      11 ,      77,
   Mar21 ,   1786 ,   99 ,   5- 6 ,       8 ,      91,
   Apr21 ,   1732 ,   69 ,   3- 4 ,       0 ,      69,
   May21 ,   1710 ,   80 ,   4- 5 ,       1 ,      79,
   Jun21 ,   1685 ,   86 ,   5- 6 ,       5 ,      81,
   Jul21 ,   1697 ,  160 ,   9-10 ,      40 ,     120,
   Aug21 ,   1688 ,  219 ,  12-14 ,     118 ,     101,
   Sep21 ,   1635 ,  251 ,  14-16 ,     124 ,     127,
   Oct21 ,   1696 ,  197 ,  11-12 ,     131 ,      66,
   Nov21 ,   1793 ,  204 ,  10-12 ,     125 ,      79,
   Dec21 ,   1847 ,  197 ,  10-11 ,      94 ,     103,
   Jan22 ,   1896 ,  159 ,   8- 9 ,     108 ,      51,
   Feb22 ,   1899 ,  153 ,   7- 9 ,      86 ,      67,
   Mar22 ,   1852 ,  255 ,  13-14 ,     132 ,     123,
   Apr22 ,   1854 ,  196 ,  10-11 ,     121 ,      75,
   May22 ,   1904 ,  197 ,  10-11 ,     111 ,      86,
   Jun22 ,   1970 ,  209 ,  10-11 ,     109 ,     100,
   Jul22 ,   2012 ,  250 ,  12-13 ,     137 ,     113,
   Aug22 ,   1993 ,  233 ,  11-12 ,     132 ,     101,
   Sep22 ,   2039 ,  271 ,  12-14 ,     139 ,     132,
   Oct22 ,   2040 ,  289 ,  13-15 ,     158 ,     131,
   Nov22 ,   2085 ,  247 ,  11-12 ,     140 ,     107,
   Dec22 ,   2113 ,  252 ,  11-12 ,     135 ,     117,
   Jan23 ,   2115 ,  230 ,  10-11 ,     119 ,     111,
   Feb23 ,   2128 ,  217 ,   9-11 ,     124 ,      93,
   Mar23 ,   2161 ,  263 ,  11-13 ,     141 ,     122,
   Apr23 ,   2146 ,  200 ,   9-10 ,     112 ,      88,
   May23 ,   2144 ,  261 ,  11-13 ,     157 ,     104,
   Jun23 ,   2050 ,  305 ,  14-15 ,     142 ,     163,
   Jul23 ,   1957 ,  296 ,  14-16 ,     160 ,     136,
   Aug23 ,   1927 ,  325 ,  16-17 ,     163 ,     162,
   Sep23 ,   1923 ,  287 ,  14-15 ,     169 ,     118,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   1907 ,10565 ,   9- 9 ,    3903 ,    6662,
 Percent ,        ,      ,        ,    ***% ,    ***%,
