"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,   1299 ,   41 ,   3- 4 ,      41 ,       0,
   Nov18 ,   1370 ,   31 ,   2- 3 ,      31 ,       0,
   Dec18 ,   1395 ,   25 ,   1- 2 ,      25 ,       0,
   Jan19 ,   1396 ,   28 ,   2- 2 ,      28 ,       0,
   Feb19 ,   1416 ,   37 ,   2- 3 ,      37 ,       0,
   Mar19 ,   1408 ,   48 ,   3- 4 ,      47 ,       1,
   Apr19 ,   1347 ,   26 ,   2- 2 ,      22 ,       4,
   May19 ,   1290 ,   32 ,   2- 3 ,      30 ,       2,
   Jun19 ,   1213 ,   32 ,   2- 3 ,      32 ,       0,
   Jul19 ,   1148 ,   26 ,   2- 3 ,      25 ,       1,
   Aug19 ,   1113 ,   52 ,   4- 5 ,      52 ,       0,
   Sep19 ,   1107 ,   42 ,   3- 4 ,      42 ,       0,
   Oct19 ,   1102 ,   43 ,   3- 4 ,      43 ,       0,
   Nov19 ,   1145 ,   34 ,   2- 3 ,      33 ,       1,
   Dec19 ,   1163 ,   23 ,   2- 2 ,      23 ,       0,
   Jan20 ,   1164 ,   24 ,   2- 2 ,      24 ,       0,
   Feb20 ,   1157 ,   35 ,   3- 4 ,      35 ,       0,
   Mar20 ,   1142 ,   31 ,   2- 3 ,      30 ,       1,
   Apr20 ,   1133 ,   59 ,   5- 6 ,      58 ,       1,
   May20 ,   1135 ,   40 ,   3- 4 ,      40 ,       0,
   Jun20 ,   1107 ,   90 ,   7- 9 ,      90 ,       0,
   Jul20 ,   1111 ,   86 ,   7- 8 ,      86 ,       0,
   Aug20 ,   1242 ,   41 ,   3- 4 ,      41 ,       0,
   Sep20 ,   1372 ,   57 ,   4- 5 ,      57 ,       0,
   Oct20 ,   1354 ,   65 ,   4- 5 ,      65 ,       0,
   Nov20 ,   1288 ,   46 ,   3- 4 ,      46 ,       0,
   Dec20 ,   1263 ,   20 ,   1- 2 ,      19 ,       1,
   Jan21 ,   1238 ,   13 ,   1- 1 ,      13 ,       0,
   Feb21 ,   1192 ,   46 ,   3- 4 ,      45 ,       1,
   Mar21 ,   1200 ,   50 ,   4- 5 ,      49 ,       1,
   Apr21 ,   1260 ,   25 ,   2- 2 ,      25 ,       0,
   May21 ,   1284 ,    5 ,   0- 1 ,       5 ,       0,
   Jun21 ,   1312 ,   12 ,   1- 1 ,      10 ,       2,
   Jul21 ,   1263 ,   15 ,   1- 2 ,      14 ,       1,
   Aug21 ,   1179 ,   10 ,   1- 1 ,      10 ,       0,
   Sep21 ,   1098 ,    8 ,   1- 1 ,       7 ,       1,
   Oct21 ,   1060 ,   12 ,   1- 1 ,      12 ,       0,
   Nov21 ,   1029 ,   14 ,   1- 2 ,      11 ,       3,
   Dec21 ,   1088 ,   17 ,   1- 2 ,      16 ,       1,
   Jan22 ,   1151 ,   11 ,   1- 1 ,      10 ,       1,
   Feb22 ,   1113 ,   20 ,   1- 2 ,      17 ,       3,
   Mar22 ,   1043 ,   12 ,   1- 2 ,      11 ,       1,
   Apr22 ,    986 ,   18 ,   1- 2 ,      15 ,       3,
   May22 ,    982 ,    8 ,   1- 1 ,       6 ,       2,
   Jun22 ,    968 ,    7 ,   0- 1 ,       5 ,       2,
   Jul22 ,    940 ,   16 ,   1- 2 ,      14 ,       2,
   Aug22 ,    920 ,   26 ,   2- 3 ,      23 ,       3,
   Sep22 ,    890 ,   14 ,   1- 2 ,      12 ,       2,
   Oct22 ,    825 ,   14 ,   1- 2 ,      14 ,       0,
   Nov22 ,    719 ,    7 ,   1- 1 ,       7 ,       0,
   Dec22 ,    631 ,   12 ,   1- 2 ,      12 ,       0,
   Jan23 ,    542 ,    6 ,   1- 2 ,       4 ,       2,
   Feb23 ,    440 ,   10 ,   2- 3 ,       9 ,       1,
   Mar23 ,    355 ,    6 ,   1- 2 ,       5 ,       1,
   Apr23 ,    291 ,    4 ,   1- 2 ,       4 ,       0,
   May23 ,    213 ,    5 ,   1- 4 ,       5 ,       0,
   Jun23 ,    109 ,    5 ,   3- 7 ,       4 ,       1,
   Jul23 ,     39 ,   11 ,  21-35 ,      11 ,       0,
   Aug23 ,     27 ,    3 ,   6-18 ,       3 ,       0,
   Sep23 ,     15 ,    3 ,    -   ,       3 ,       0,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   1013 , 1559 ,   3- 3 ,    1513 ,      46,
 Percent ,        ,      ,        ,    149% ,      5%,
