"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Oct18 ,    143 ,    7 ,   3- 7 ,       7 ,       0,
   Nov18 ,    263 ,    8 ,   2- 4 ,       8 ,       0,
   Dec18 ,    464 ,    7 ,   1- 2 ,       7 ,       0,
   Jan19 ,    641 ,    1 ,   0- 0 ,       0 ,       1,
   Feb19 ,    769 ,    3 ,   0- 1 ,       3 ,       0,
   Mar19 ,    803 ,    2 ,   0- 0 ,       2 ,       0,
   Apr19 ,    800 ,   31 ,   3- 5 ,      30 ,       1,
   May19 ,    769 ,   28 ,   3- 4 ,      28 ,       0,
   Jun19 ,    948 ,    5 ,   0- 1 ,       1 ,       4,
   Jul19 ,   1472 ,    2 ,   0- 0 ,       1 ,       1,
   Aug19 ,   2359 ,   12 ,   0- 1 ,       7 ,       5,
   Sep19 ,   3003 ,   10 ,   0- 0 ,       0 ,      10,
   Oct19 ,   3424 ,   19 ,   0- 1 ,       1 ,      18,
   Nov19 ,   3893 ,   21 ,   0- 1 ,       1 ,      20,
   Dec19 ,   4148 ,   13 ,   0- 0 ,       2 ,      11,
   Jan20 ,   4294 ,   15 ,   0- 0 ,       0 ,      15,
   Feb20 ,   4361 ,   17 ,   0- 0 ,       0 ,      17,
   Mar20 ,   4348 ,  363 ,   8- 9 ,     204 ,     159,
   Apr20 ,   4426 ,  482 ,  10-11 ,     383 ,      99,
   May20 ,   4575 ,  701 ,  15-16 ,     609 ,      92,
   Jun20 ,   4042 ,  896 ,  21-22 ,     818 ,      78,
   Jul20 ,   3387 ,  709 ,  20-21 ,     589 ,     120,
   Aug20 ,   2951 ,  598 ,  19-21 ,     504 ,      94,
   Sep20 ,   2563 ,  602 ,  22-24 ,     537 ,      65,
   Oct20 ,   2219 ,  238 ,  10-11 ,     222 ,      16,
   Nov20 ,   1918 ,  293 ,  14-16 ,     255 ,      38,
   Dec20 ,   1772 ,  265 ,  14-16 ,     199 ,      66,
   Jan21 ,   1741 ,  280 ,  15-17 ,     200 ,      80,
   Feb21 ,   1698 ,  314 ,  17-19 ,     277 ,      37,
   Mar21 ,   1569 ,  297 ,  18-20 ,     263 ,      34,
   Apr21 ,   1408 ,  164 ,  11-12 ,     141 ,      23,
   May21 ,   1376 ,  124 ,   8-10 ,      97 ,      27,
   Jun21 ,   1394 ,  128 ,   8-10 ,     110 ,      18,
   Jul21 ,   1446 ,  156 ,  10-11 ,     132 ,      24,
   Aug21 ,   1466 ,  137 ,   8-10 ,     115 ,      22,
   Sep21 ,   1583 ,  170 ,  10-11 ,     148 ,      22,
   Oct21 ,   1691 ,  226 ,  12-14 ,     162 ,      64,
   Nov21 ,   1777 ,  261 ,  14-15 ,     198 ,      63,
   Dec21 ,   1765 ,  292 ,  15-17 ,     213 ,      79,
   Jan22 ,   1828 ,  225 ,  11-13 ,     133 ,      92,
   Feb22 ,   2009 ,  199 ,   9-10 ,     113 ,      86,
   Mar22 ,   2229 ,  248 ,  10-12 ,     165 ,      83,
   Apr22 ,   2496 ,  238 ,   9-10 ,     162 ,      76,
   May22 ,   3144 ,  145 ,   4- 5 ,      48 ,      97,
   Jun22 ,   3556 ,  290 ,   8- 8 ,     138 ,     152,
   Jul22 ,   3486 ,  423 ,  11-12 ,     261 ,     162,
   Aug22 ,   3627 ,  429 ,  11-12 ,     278 ,     151,
   Sep22 ,   3871 ,  518 ,  13-14 ,     316 ,     202,
   Oct22 ,   3887 ,  459 ,  11-12 ,     325 ,     134,
   Nov22 ,   3752 ,  531 ,  13-14 ,     390 ,     141,
   Dec22 ,   3604 ,  489 ,  13-14 ,     378 ,     111,
   Jan23 ,   3487 ,  486 ,  13-14 ,     394 ,      92,
   Feb23 ,   3412 ,  558 ,  15-17 ,     496 ,      62,
   Mar23 ,   3016 ,  612 ,  19-21 ,     556 ,      56,
   Apr23 ,   2552 ,  404 ,  15-16 ,     308 ,      96,
   May23 ,   2321 ,  410 ,  17-18 ,     309 ,     101,
   Jun23 ,   2152 ,  442 ,  19-21 ,     354 ,      88,
   Jul23 ,   1972 ,  335 ,  16-18 ,     291 ,      44,
   Aug23 ,   1891 ,  289 ,  14-16 ,     213 ,      76,
   Sep23 ,   1810 ,  226 ,  12-13 ,     185 ,      41,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   2396 ,15853 ,  11-11 ,   12287 ,    3566,
 Percent ,        ,      ,        ,    ***% ,    149%,
