"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,   3603 ,  197 ,   5- 6 ,     197 ,       0,
   Nov18 ,   3652 ,  145 ,   4- 4 ,     145 ,       0,
   Dec18 ,   3667 ,  125 ,   3- 4 ,     125 ,       0,
   Jan19 ,   3705 ,  130 ,   3- 4 ,     130 ,       0,
   Feb19 ,   3741 ,  146 ,   4- 4 ,     146 ,       0,
   Mar19 ,   3736 ,  171 ,   4- 5 ,     170 ,       1,
   Apr19 ,   3629 ,  154 ,   4- 5 ,     150 ,       4,
   May19 ,   3522 ,  169 ,   4- 5 ,     167 ,       2,
   Jun19 ,   3350 ,  214 ,   6- 7 ,     214 ,       0,
   Jul19 ,   3222 ,  185 ,   5- 6 ,     184 ,       1,
   Aug19 ,   3294 ,  208 ,   6- 7 ,     208 ,       0,
   Sep19 ,   3430 ,  251 ,   7- 8 ,     251 ,       0,
   Oct19 ,   3451 ,  229 ,   6- 7 ,     229 ,       0,
   Nov19 ,   3507 ,  191 ,   5- 6 ,     190 ,       1,
   Dec19 ,   3535 ,  147 ,   4- 4 ,     147 ,       0,
   Jan20 ,   3550 ,  154 ,   4- 5 ,     154 ,       0,
   Feb20 ,   3663 ,  151 ,   4- 4 ,     151 ,       0,
   Mar20 ,   3704 ,  141 ,   3- 4 ,     140 ,       1,
   Apr20 ,   3652 ,  244 ,   6- 7 ,     243 ,       1,
   May20 ,   3564 ,  218 ,   6- 6 ,     218 ,       0,
   Jun20 ,   3400 ,  285 ,   8- 9 ,     285 ,       0,
   Jul20 ,   3306 ,  291 ,   8- 9 ,     291 ,       0,
   Aug20 ,   3431 ,  213 ,   6- 7 ,     213 ,       0,
   Sep20 ,   3645 ,  237 ,   6- 7 ,     237 ,       0,
   Oct20 ,   3690 ,  292 ,   7- 8 ,     292 ,       0,
   Nov20 ,   3641 ,  189 ,   5- 5 ,     189 ,       0,
   Dec20 ,   3671 ,  132 ,   3- 4 ,     131 ,       1,
   Jan21 ,   3659 ,  138 ,   3- 4 ,     138 ,       0,
   Feb21 ,   3652 ,  154 ,   4- 4 ,     153 ,       1,
   Mar21 ,   3701 ,  206 ,   5- 6 ,     205 ,       1,
   Apr21 ,   3778 ,  156 ,   4- 4 ,     156 ,       0,
   May21 ,   3743 ,  138 ,   3- 4 ,     137 ,       1,
   Jun21 ,   3723 ,  103 ,   2- 3 ,     101 ,       2,
   Jul21 ,   3635 ,  143 ,   4- 4 ,     134 ,       9,
   Aug21 ,   3579 ,  157 ,   4- 5 ,     128 ,      29,
   Sep21 ,   3583 ,  142 ,   4- 4 ,     128 ,      14,
   Oct21 ,   3589 ,  117 ,   3- 4 ,     115 ,       2,
   Nov21 ,   3599 ,  102 ,   3- 3 ,      94 ,       8,
   Dec21 ,   3698 ,   97 ,   2- 3 ,      81 ,      16,
   Jan22 ,   3762 ,  108 ,   3- 3 ,      97 ,      11,
   Feb22 ,   3714 ,  115 ,   3- 3 ,      95 ,      20,
   Mar22 ,   3673 ,  110 ,   3- 3 ,      95 ,      15,
   Apr22 ,   3585 ,  124 ,   3- 4 ,     105 ,      19,
   May22 ,   3573 ,   96 ,   2- 3 ,      82 ,      14,
   Jun22 ,   3564 ,   80 ,   2- 2 ,      66 ,      14,
   Jul22 ,   3541 ,  119 ,   3- 4 ,     102 ,      17,
   Aug22 ,   3465 ,  141 ,   4- 4 ,     128 ,      13,
   Sep22 ,   3431 ,  141 ,   4- 4 ,     125 ,      16,
   Oct22 ,   3322 ,  116 ,   3- 4 ,     113 ,       3,
   Nov22 ,   3281 ,   83 ,   2- 3 ,      81 ,       2,
   Dec22 ,   3169 ,   85 ,   2- 3 ,      81 ,       4,
   Jan23 ,   3044 ,  113 ,   3- 4 ,     107 ,       6,
   Feb23 ,   2938 ,  114 ,   3- 4 ,     105 ,       9,
   Mar23 ,   2844 ,   85 ,   3- 3 ,      73 ,      12,
   Apr23 ,   2823 ,   60 ,   2- 2 ,      59 ,       1,
   May23 ,   2688 ,  107 ,   4- 4 ,     100 ,       7,
   Jun23 ,   2314 ,  134 ,   5- 6 ,     116 ,      18,
   Jul23 ,   2123 ,  129 ,   5- 7 ,     123 ,       6,
   Aug23 ,   2169 ,  158 ,   7- 8 ,     153 ,       5,
   Sep23 ,   2141 ,  141 ,   6- 7 ,     131 ,      10,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   3417 , 9221 ,   4- 5 ,    8904 ,     317,
 Percent ,        ,      ,        ,    ***% ,      9%,
