"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Sep19 ,   1160 ,    5 ,   0- 1 ,       0 ,       5,
   Oct19 ,   1188 ,    7 ,   0- 1 ,       0 ,       7,
   Nov19 ,   1187 ,    3 ,   0- 0 ,       0 ,       3,
   Dec19 ,   1117 ,    2 ,   0- 0 ,       0 ,       2,
   Jan20 ,   1049 ,    2 ,   0- 0 ,       0 ,       2,
   Feb20 ,    980 ,    3 ,   0- 1 ,       0 ,       3,
   Mar20 ,    929 ,  122 ,  12-14 ,      86 ,      36,
   Apr20 ,    831 ,  214 ,  24-27 ,     187 ,      27,
   May20 ,    661 ,  261 ,  37-41 ,     235 ,      26,
   Jun20 ,    503 ,  192 ,  35-40 ,     176 ,      16,
   Jul20 ,    375 ,   97 ,  23-28 ,      85 ,      12,
   Aug20 ,    304 ,   73 ,  21-26 ,      58 ,      15,
   Sep20 ,    266 ,   46 ,  15-19 ,      39 ,       7,
   Oct20 ,    236 ,   23 ,   8-12 ,      19 ,       4,
   Nov20 ,    209 ,   25 ,  10-14 ,      19 ,       6,
   Dec20 ,    188 ,   28 ,  12-17 ,      23 ,       5,
   Jan21 ,    174 ,   25 ,  12-17 ,      17 ,       8,
   Feb21 ,    170 ,   20 ,   9-14 ,      15 ,       5,
   Mar21 ,    157 ,   49 ,  27-34 ,      44 ,       5,
   Apr21 ,    109 ,   27 ,  20-29 ,      23 ,       4,
   May21 ,     99 ,   13 ,  10-16 ,       9 ,       4,
   Jun21 ,    117 ,   12 ,   8-13 ,      11 ,       1,
   Jul21 ,    182 ,   14 ,   6-10 ,       9 ,       5,
   Aug21 ,    309 ,   18 ,   5- 7 ,      13 ,       5,
   Sep21 ,    380 ,   16 ,   3- 5 ,      14 ,       2,
   Oct21 ,    430 ,   23 ,   4- 6 ,       7 ,      16,
   Nov21 ,    524 ,   24 ,   4- 5 ,      11 ,      13,
   Dec21 ,    628 ,   39 ,   5- 7 ,      24 ,      15,
   Jan22 ,    752 ,   38 ,   4- 6 ,      22 ,      16,
   Feb22 ,    988 ,   29 ,   2- 3 ,       6 ,      23,
   Mar22 ,   1284 ,   40 ,   3- 4 ,      21 ,      19,
   Apr22 ,   1673 ,   49 ,   3- 3 ,      31 ,      18,
   May22 ,   2294 ,  212 ,   9-10 ,     186 ,      26,
   Jun22 ,   3196 ,  192 ,   6- 6 ,      82 ,     110,
   Jul22 ,   3904 ,  335 ,   8- 9 ,      56 ,     279,
   Aug22 ,   4236 ,  428 ,   9-10 ,     114 ,     314,
   Sep22 ,   4465 ,  515 ,  11-12 ,     170 ,     345,
   Oct22 ,   4591 ,  665 ,  14-15 ,     169 ,     496,
   Nov22 ,   4732 ,  552 ,  11-12 ,     289 ,     263,
   Dec22 ,   4815 ,  630 ,  12-13 ,     330 ,     300,
   Jan23 ,   4824 ,  544 ,  11-12 ,     331 ,     213,
   Feb23 ,   4770 ,  508 ,  10-11 ,     333 ,     175,
   Mar23 ,   4411 ,  242 ,   5- 6 ,      40 ,     202,
   Apr23 ,   3868 ,  379 ,   9-10 ,     200 ,     179,
   May23 ,   3512 ,  425 ,  11-12 ,     288 ,     137,
   Jun23 ,   2956 ,  496 ,  16-17 ,     406 ,      90,
   Jul23 ,   2673 ,  615 ,  22-23 ,     541 ,      74,
   Aug23 ,   2530 ,  475 ,  18-19 ,     389 ,      86,
   Sep23 ,   2370 ,  496 ,  20-21 ,     371 ,     125,
   Oct23 ,   2306 ,   37 ,  43-54 ,      28 ,       9,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   1451 , 9285 ,  11-11 ,    5527 ,    3758,
 Percent ,        ,      ,        ,    ***% ,    ***%,
