"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,    347 ,   13 ,   3- 5 ,      13 ,       0,
   Nov18 ,    387 ,    6 ,   1- 2 ,       6 ,       0,
   Dec18 ,    400 ,    7 ,   1- 2 ,       7 ,       0,
   Jan19 ,    386 ,    7 ,   1- 3 ,       7 ,       0,
   Feb19 ,    368 ,   14 ,   3- 5 ,      13 ,       1,
   Mar19 ,    323 ,    8 ,   2- 3 ,       7 ,       1,
   Apr19 ,    293 ,   10 ,   2- 5 ,       9 ,       1,
   May19 ,    279 ,    8 ,   2- 4 ,       8 ,       0,
   Jun19 ,    279 ,   14 ,   4- 6 ,      14 ,       0,
   Jul19 ,    302 ,    5 ,   1- 3 ,       4 ,       1,
   Aug19 ,    330 ,   11 ,   2- 4 ,       9 ,       2,
   Sep19 ,    350 ,    4 ,   1- 2 ,       4 ,       0,
   Oct19 ,    362 ,   13 ,   3- 5 ,      13 ,       0,
   Dec19 ,    355 ,   17 ,   4- 6 ,      17 ,       0,
   Jan20 ,    331 ,    7 ,   1- 3 ,       7 ,       0,
   Feb20 ,    288 ,    9 ,   2- 4 ,       9 ,       0,
   Mar20 ,    255 ,    6 ,   2- 3 ,       6 ,       0,
   Apr20 ,    208 ,    3 ,   1- 2 ,       3 ,       0,
   May20 ,    191 ,    8 ,   3- 6 ,       8 ,       0,
   Jun20 ,    196 ,   11 ,   4- 7 ,      11 ,       0,
   Jul20 ,    221 ,    7 ,   2- 4 ,       7 ,       0,
   Aug20 ,    269 ,    5 ,   1- 3 ,       5 ,       0,
   Sep20 ,    304 ,    6 ,   1- 3 ,       6 ,       0,
   Oct20 ,    289 ,    3 ,   1- 2 ,       3 ,       0,
   Nov20 ,    278 ,    8 ,   2- 4 ,       8 ,       0,
   Dec20 ,    264 ,    5 ,   1- 3 ,       5 ,       0,
   Jan21 ,    227 ,    3 ,   1- 2 ,       3 ,       0,
   Feb21 ,    216 ,    9 ,   3- 6 ,       9 ,       0,
   Mar21 ,    205 ,    5 ,   2- 4 ,       5 ,       0,
   Apr21 ,    200 ,    3 ,   1- 3 ,       3 ,       0,
   May21 ,    199 ,    1 ,   0- 1 ,       1 ,       0,
   Jun21 ,    216 ,    3 ,   1- 2 ,       3 ,       0,
   Jul21 ,    245 ,    4 ,   1- 3 ,       3 ,       1,
   Aug21 ,    259 ,    2 ,   0- 2 ,       2 ,       0,
   Sep21 ,    246 ,    5 ,   1- 3 ,       4 ,       1,
   Oct21 ,    216 ,    6 ,   2- 4 ,       5 ,       1,
   Nov21 ,    197 ,    1 ,   0- 1 ,       0 ,       1,
   Dec21 ,    196 ,    9 ,   3- 6 ,       4 ,       5,
   Jan22 ,    197 ,    2 ,   0- 2 ,       2 ,       0,
   Feb22 ,    217 ,    2 ,   0- 2 ,       1 ,       1,
   Mar22 ,    214 ,    6 ,   2- 4 ,       6 ,       0,
   Apr22 ,    226 ,    4 ,   1- 3 ,       4 ,       0,
   May22 ,    279 ,    5 ,   1- 3 ,       3 ,       2,
   Jun22 ,    308 ,    3 ,   1- 2 ,       3 ,       0,
   Jul22 ,    347 ,    8 ,   2- 3 ,       8 ,       0,
   Aug22 ,    365 ,    4 ,   1- 2 ,       4 ,       0,
   Sep22 ,    389 ,    5 ,   1- 2 ,       4 ,       1,
   Oct22 ,    413 ,    8 ,   1- 3 ,       7 ,       1,
   Nov22 ,    452 ,    5 ,   1- 2 ,       5 ,       0,
   Dec22 ,    483 ,    2 ,   0- 1 ,       2 ,       0,
   Jan23 ,    511 ,    2 ,   0- 1 ,       1 ,       1,
   Feb23 ,    562 ,    5 ,   1- 1 ,       5 ,       0,
   Mar23 ,    573 ,   10 ,   1- 2 ,       7 ,       3,
   Apr23 ,    574 ,    2 ,   0- 1 ,       1 ,       1,
   May23 ,    534 ,    5 ,   1- 1 ,       4 ,       1,
   Jun23 ,    406 ,    8 ,   1- 3 ,       4 ,       4,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    299 ,  352 ,   2- 2 ,     322 ,      30,
 Percent ,        ,      ,        ,    108% ,     10%,
