"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,    986 ,   66 ,   6- 7 ,      66 ,       0,
   Nov18 ,   1028 ,   40 ,   3- 4 ,      40 ,       0,
   Dec18 ,   1044 ,   40 ,   3- 4 ,      40 ,       0,
   Jan19 ,   1066 ,   30 ,   2- 3 ,      30 ,       0,
   Feb19 ,   1066 ,   34 ,   3- 4 ,      34 ,       0,
   Mar19 ,   1063 ,   37 ,   3- 4 ,      37 ,       0,
   Apr19 ,   1038 ,   58 ,   5- 6 ,      58 ,       0,
   May19 ,    979 ,   47 ,   4- 5 ,      47 ,       0,
   Jun19 ,    875 ,   72 ,   7- 9 ,      72 ,       0,
   Jul19 ,    781 ,   72 ,   8-10 ,      72 ,       0,
   Aug19 ,    736 ,   55 ,   6- 8 ,      55 ,       0,
   Sep19 ,    690 ,   70 ,   9-11 ,      70 ,       0,
   Oct19 ,    631 ,   46 ,   6- 8 ,      46 ,       0,
   Nov19 ,    566 ,   56 ,   9-11 ,      56 ,       0,
   Dec19 ,    522 ,   38 ,   6- 8 ,      38 ,       0,
   Jan20 ,    472 ,   25 ,   4- 6 ,      25 ,       0,
   Feb20 ,    476 ,   23 ,   4- 6 ,      23 ,       0,
   Mar20 ,    492 ,   24 ,   4- 6 ,      24 ,       0,
   Apr20 ,    481 ,   34 ,   6- 8 ,      34 ,       0,
   May20 ,    468 ,   37 ,   7- 9 ,      37 ,       0,
   Jun20 ,    461 ,   38 ,   7- 9 ,      38 ,       0,
   Jul20 ,    476 ,   37 ,   7- 9 ,      37 ,       0,
   Aug20 ,    518 ,   42 ,   7- 9 ,      42 ,       0,
   Sep20 ,    588 ,   56 ,   8-11 ,      56 ,       0,
   Oct20 ,    652 ,   52 ,   7- 9 ,      52 ,       0,
   Nov20 ,    695 ,   36 ,   4- 6 ,      36 ,       0,
   Dec20 ,    750 ,   25 ,   3- 4 ,      25 ,       0,
   Jan21 ,    787 ,   34 ,   4- 5 ,      34 ,       0,
   Feb21 ,    823 ,   27 ,   3- 4 ,      27 ,       0,
   Mar21 ,    858 ,   37 ,   4- 5 ,      37 ,       0,
   Apr21 ,    881 ,   54 ,   5- 7 ,      54 ,       0,
   May21 ,    859 ,   49 ,   5- 6 ,      48 ,       1,
   Jun21 ,    833 ,   18 ,   2- 3 ,      18 ,       0,
   Jul21 ,    801 ,   36 ,   4- 5 ,      34 ,       2,
   Aug21 ,    778 ,   39 ,   4- 6 ,      28 ,      11,
   Sep21 ,    788 ,   44 ,   5- 6 ,      41 ,       3,
   Oct21 ,    788 ,   32 ,   3- 5 ,      31 ,       1,
   Nov21 ,    787 ,   30 ,   3- 4 ,      29 ,       1,
   Dec21 ,    787 ,   17 ,   2- 3 ,      15 ,       2,
   Jan22 ,    766 ,   24 ,   3- 4 ,      20 ,       4,
   Feb22 ,    744 ,   20 ,   2- 3 ,      15 ,       5,
   Mar22 ,    718 ,   31 ,   4- 5 ,      27 ,       4,
   Apr22 ,    686 ,   22 ,   3- 4 ,      13 ,       9,
   May22 ,    685 ,   22 ,   3- 4 ,      18 ,       4,
   Jun22 ,    689 ,   19 ,   2- 3 ,      15 ,       4,
   Jul22 ,    742 ,   25 ,   3- 4 ,      19 ,       6,
   Aug22 ,    776 ,   32 ,   3- 5 ,      29 ,       3,
   Sep22 ,    822 ,   34 ,   3- 5 ,      26 ,       8,
   Oct22 ,    828 ,   30 ,   3- 4 ,      29 ,       1,
   Nov22 ,    854 ,   25 ,   2- 4 ,      24 ,       1,
   Dec22 ,    852 ,   21 ,   2- 3 ,      19 ,       2,
   Jan23 ,    852 ,   27 ,   3- 4 ,      26 ,       1,
   Feb23 ,    869 ,   31 ,   3- 4 ,      28 ,       3,
   Mar23 ,    884 ,   21 ,   2- 3 ,      18 ,       3,
   Apr23 ,    906 ,   18 ,   2- 2 ,      17 ,       1,
   May23 ,    890 ,   37 ,   3- 5 ,      32 ,       5,
   Jun23 ,    783 ,   44 ,   5- 6 ,      39 ,       5,
   Jul23 ,    713 ,   33 ,   4- 5 ,      31 ,       2,
   Aug23 ,    709 ,   46 ,   6- 7 ,      45 ,       1,
   Sep23 ,    681 ,   45 ,   6- 7 ,      43 ,       2,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    763 , 2214 ,   5- 5 ,    2119 ,      95,
 Percent ,        ,      ,        ,    ***% ,     12%,
