"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Jun21 ,     16 ,    2 ,    -   ,       2 ,       0,
   Sep21 ,     33 ,    6 ,  12-25 ,       3 ,       3,
   Oct21 ,     54 ,   13 ,  18-30 ,       5 ,       8,
   Nov21 ,     74 ,   18 ,  19-29 ,       7 ,      11,
   Dec21 ,    100 ,   29 ,  24-33 ,      17 ,      12,
   Jan22 ,    137 ,   32 ,  20-27 ,      11 ,      21,
   Feb22 ,    165 ,   26 ,  13-18 ,      15 ,      11,
   Mar22 ,    175 ,   38 ,  18-24 ,      14 ,      24,
   Apr22 ,    186 ,   36 ,  16-22 ,      23 ,      13,
   May22 ,    217 ,   19 ,   7-11 ,      13 ,       6,
   Jun22 ,    270 ,   26 ,   8-11 ,      11 ,      15,
   Jul22 ,    277 ,   44 ,  14-18 ,      16 ,      28,
   Aug22 ,    295 ,   55 ,  16-21 ,      27 ,      28,
   Sep22 ,    430 ,  104 ,  22-26 ,      60 ,      44,
   Oct22 ,    544 ,  134 ,  22-26 ,      83 ,      51,
   Nov22 ,    650 ,  176 ,  25-28 ,     115 ,      61,
   Dec22 ,    748 ,  188 ,  23-26 ,     127 ,      61,
   Jan23 ,    813 ,  158 ,  18-21 ,      89 ,      69,
   Feb23 ,    850 ,  131 ,  14-16 ,      87 ,      44,
   Mar23 ,    861 ,  151 ,  16-19 ,     104 ,      47,
   Apr23 ,    873 ,  144 ,  15-17 ,      69 ,      75,
   May23 ,    923 ,  153 ,  15-18 ,      75 ,      78,
   Jun23 ,    973 ,  199 ,  19-21 ,     110 ,      89,
   Jul23 ,    934 ,  219 ,  22-24 ,     137 ,      82,
   Aug23 ,    863 ,  258 ,  28-31 ,     158 ,     100,
   Sep23 ,    814 ,  226 ,  26-29 ,     165 ,      61,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    205 , 2585 ,  21-21 ,    1543 ,    1042,
 Percent ,        ,      ,        ,    ***% ,    ***%,
