"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Jul19 ,     57 ,    1 ,   1- 4 ,       1 ,       0,
   Aug19 ,     80 ,   15 ,  14-23 ,      15 ,       0,
   Sep19 ,     96 ,    2 ,   1- 4 ,       2 ,       0,
   Nov19 ,    275 ,    3 ,   1- 2 ,       0 ,       3,
   Dec19 ,    381 ,    5 ,   1- 2 ,       0 ,       5,
   Jan20 ,    479 ,    1 ,   0- 1 ,       0 ,       1,
   Feb20 ,    571 ,    8 ,   1- 2 ,       1 ,       7,
   Mar20 ,    565 ,   71 ,  11-14 ,      28 ,      43,
   Apr20 ,    551 ,   81 ,  13-16 ,      39 ,      42,
   May20 ,    579 ,   76 ,  12-14 ,      48 ,      28,
   Jun20 ,    691 ,   54 ,   7- 9 ,      32 ,      22,
   Jul20 ,    995 ,   99 ,   9-11 ,      30 ,      69,
   Aug20 ,   1560 ,  173 ,  10-12 ,      75 ,      98,
   Sep20 ,   2058 ,  232 ,  10-12 ,     123 ,     109,
   Oct20 ,   2466 ,  127 ,   5- 6 ,      66 ,      61,
   Nov20 ,   2797 ,  270 ,   9-10 ,     152 ,     118,
   Dec20 ,   3017 ,  418 ,  13-14 ,     213 ,     205,
   Jan21 ,   3148 ,  387 ,  12-13 ,     187 ,     200,
   Feb21 ,   3227 ,  257 ,   7- 8 ,     147 ,     110,
   Mar21 ,   3245 ,  314 ,   9-10 ,     211 ,     103,
   Apr21 ,   3331 ,  324 ,   9-10 ,     207 ,     117,
   May21 ,   3338 ,  471 ,  13-14 ,     345 ,     126,
   Jun21 ,   3083 ,  555 ,  17-18 ,     423 ,     132,
   Jul21 ,   2756 ,  622 ,  21-23 ,     461 ,     161,
   Aug21 ,   2363 ,  579 ,  23-25 ,     474 ,     105,
   Sep21 ,   2008 ,  503 ,  24-26 ,     419 ,      84,
   Oct21 ,   1711 ,  457 ,  25-27 ,     322 ,     135,
   Nov21 ,   1496 ,  321 ,  20-22 ,     222 ,      99,
   Dec21 ,   1378 ,  257 ,  17-19 ,     174 ,      83,
   Jan22 ,   1325 ,  307 ,  22-24 ,     222 ,      85,
   Feb22 ,   1233 ,  271 ,  20-23 ,     221 ,      50,
   Mar22 ,   1096 ,  258 ,  22-24 ,     215 ,      43,
   Apr22 ,   1007 ,  146 ,  13-15 ,     113 ,      33,
   May22 ,    983 ,   49 ,   4- 6 ,      29 ,      20,
   Jun22 ,   1009 ,   88 ,   8- 9 ,      53 ,      35,
   Jul22 ,    969 ,  133 ,  12-15 ,      93 ,      40,
   Aug22 ,    942 ,  125 ,  12-14 ,      82 ,      43,
   Sep22 ,   1055 ,  172 ,  15-17 ,     107 ,      65,
   Oct22 ,   1114 ,  199 ,  16-19 ,     143 ,      56,
   Nov22 ,   1152 ,  219 ,  18-20 ,     166 ,      53,
   Dec22 ,   1208 ,  223 ,  17-19 ,     172 ,      51,
   Jan23 ,   1315 ,  195 ,  14-16 ,     157 ,      38,
   Feb23 ,   1427 ,  145 ,   9-11 ,      99 ,      46,
   Mar23 ,   1562 ,  244 ,  14-16 ,     188 ,      56,
   Apr23 ,   1736 ,  211 ,  11-13 ,     127 ,      84,
   May23 ,   2146 ,  241 ,  10-12 ,     138 ,     103,
   Jun23 ,   2476 ,  300 ,  11-13 ,     188 ,     112,
   Jul23 ,   2575 ,  333 ,  12-13 ,     238 ,      95,
   Aug23 ,   2699 ,  404 ,  14-15 ,     230 ,     174,
   Sep23 ,   2820 ,  370 ,  12-14 ,     268 ,     102,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   1338 ,11316 ,  14-14 ,    7666 ,    3650,
 Percent ,        ,      ,        ,    ***% ,    ***%,
