"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Aug21 ,     16 ,    2 ,    -   ,       1 ,       1,
   Sep21 ,     21 ,    1 ,   2-11 ,       0 ,       1,
   Oct21 ,     27 ,    3 ,   6-18 ,       2 ,       1,
   Nov21 ,     34 ,    1 ,   1- 7 ,       0 ,       1,
   Dec21 ,     46 ,    8 ,  12-23 ,       5 ,       3,
   Jan22 ,     61 ,    6 ,   7-14 ,       2 ,       4,
   Feb22 ,     75 ,    7 ,   6-13 ,       1 ,       6,
   Mar22 ,     88 ,    8 ,   6-12 ,       5 ,       3,
   Apr22 ,    103 ,    3 ,   2- 5 ,       3 ,       0,
   May22 ,    113 ,    8 ,   5-10 ,       5 ,       3,
   Jun22 ,    137 ,   14 ,   8-13 ,       3 ,      11,
   Jul22 ,    253 ,   62 ,  21-27 ,       6 ,      56,
   Aug22 ,    370 ,  113 ,  28-32 ,      22 ,      91,
   Sep22 ,    367 ,   58 ,  14-18 ,       6 ,      52,
   Oct22 ,    366 ,  106 ,  26-31 ,      23 ,      83,
   Nov22 ,    376 ,   78 ,  18-22 ,      26 ,      52,
   Dec22 ,    395 ,  115 ,  26-31 ,      38 ,      77,
   Jan23 ,    399 ,   74 ,  16-20 ,      32 ,      42,
   Feb23 ,    415 ,   48 ,  10-13 ,      17 ,      31,
   Mar23 ,    421 ,   29 ,   6- 8 ,       5 ,      24,
   Apr23 ,    416 ,   74 ,  16-19 ,      25 ,      49,
   May23 ,    386 ,  101 ,  24-28 ,      54 ,      47,
   Jun23 ,    356 ,  100 ,  25-30 ,      58 ,      42,
   Jul23 ,    387 ,  127 ,  30-35 ,      81 ,      46,
   Aug23 ,    444 ,  125 ,  26-30 ,      71 ,      54,
   Sep23 ,    460 ,  178 ,  36-40 ,     101 ,      77,
   Oct23 ,    457 ,   15 ,    -   ,      11 ,       4,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    109 , 1464 ,  22-23 ,     603 ,     861,
 Percent ,        ,      ,        ,    ***% ,    ***%,
