"ID","BDAT","FDAT","ARDAT","LACT","CBRD","XLAME","LLAME","PSTRG","Event","DIM","Date","Remark","Protocols","Technician",
        33 ,10/23/10,03/01/18,02/08/19,   6 ,H    ,    1 ,    1 ,    5 ,LAME       , 229 ,10/16/18,BLOCK LB        ,LAMINITIS       ,,
        33 ,10/23/10,03/01/18,02/08/19,   6 ,H    ,    2 ,    1 ,    5 ,LAME       , 281 ,12/07/18,TRIM            ,TRIM            ,,
        33 ,10/23/10,02/08/19,05/18/19,   7 ,H    ,    1 ,    3 ,    5 ,LAME       ,  66 ,04/15/19,BLOCK LB        ,THIN SOLES      ,,
       406 ,02/06/11,03/16/18,01/19/19,   5 ,H    ,    1 ,    1 ,    5 ,LAME       , 215 ,10/17/18,BLOCK RB        ,DERMATITIS      ,,
       406 ,02/06/11,03/16/18,01/19/19,   5 ,H    ,    2 ,    1 ,    5 ,LAME       , 301 ,01/11/19,TRIM            ,TRIM            ,,
       631 ,12/31/18,11/15/20,10/26/21,   1 ,H    ,    0 ,    0 ,    5 ,FOOTRIM    , 278 ,08/20/21,II              ,Juan M,,
       835 ,01/15/19,05/01/22,07/05/23,   2 ,H    ,    0 ,    0 ,    5 ,FOOTRIM    , 333 ,03/30/23,NONE            ,Antonio,,
      1380 ,07/11/19,08/20/22,00000000 ,   2 ,X    ,    0 ,    0 ,    5 ,FOOTRIM    , 405 ,09/29/23,NONE            ,Nacho,,
      1433 ,09/25/18,08/20/22,08/08/23,   3 ,H    ,    0 ,    0 ,    5 ,FOOTRIM    , 292 ,06/08/23,NONE            ,Juan M,,
      1525 ,05/01/16,02/19/20,03/29/21,   3 ,X    ,    1 ,    0 ,    5 ,LAME       , 338 ,01/22/21,TRIM            ,TRIM            ,,
      1525 ,05/01/16,03/29/21,08/03/22,   4 ,X    ,    1 ,    1 ,    5 ,LAME       ,  28 ,04/26/21,BLOCK LB        ,LAMINITIS       ,,
      1533 ,05/01/16,02/18/18,12/24/18,   1 ,H    ,    1 ,    0 ,    5 ,LAME       , 292 ,12/07/18,TRIM            ,TRIM            ,,
      1553 ,05/01/16,04/08/19,05/12/20,   2 ,H    ,    1 ,    0 ,    5 ,LAME       , 332 ,03/05/20,TRIM            ,TRIM            ,,
      1599 ,05/03/16,04/14/18,07/12/19,   1 ,H    ,    1 ,    0 ,    5 ,LAME       , 390 ,05/09/19,TRIM            ,TRIM            ,,
      1599 ,05/03/16,07/12/19,07/05/20,   2 ,H    ,    1 ,    1 ,    5 ,LAME       , 300 ,05/07/20,TRIM            ,TRIM            ,,
      1618 ,05/03/16,10/04/18,10/22/19,   1 ,H    ,    1 ,    0 ,    5 ,LAME       , 316 ,08/16/19,TRIM            ,TRIM            ,,
      1639 ,05/04/16,03/07/18,04/01/19,   1 ,H    ,    1 ,    0 ,    5 ,LAME       , 223 ,10/16/18,BLOCK RB        ,THIN SOLES      ,,
      1639 ,05/04/16,03/07/18,04/01/19,   1 ,H    ,    2 ,    0 ,    5 ,LAME       , 324 ,01/25/19,TRIM            ,TRIM            ,,
