"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,   1767 ,   58 ,   3- 4 ,      58 ,       0,
   Nov18 ,   1706 ,   47 ,   2- 3 ,      47 ,       0,
   Dec18 ,   1713 ,   35 ,   2- 2 ,      35 ,       0,
   Jan19 ,   1820 ,   70 ,   3- 4 ,      68 ,       2,
   Feb19 ,   1931 ,   33 ,   1- 2 ,      33 ,       0,
   Mar19 ,   2027 ,   62 ,   3- 3 ,      62 ,       0,
   Apr19 ,   1995 ,   91 ,   4- 5 ,      91 ,       0,
   May19 ,   2009 ,   65 ,   3- 4 ,      64 ,       1,
   Jun19 ,   2100 ,  104 ,   4- 5 ,     104 ,       0,
   Jul19 ,   2015 ,   21 ,   1- 1 ,      21 ,       0,
   Aug19 ,   1989 ,   95 ,   4- 5 ,      95 ,       0,
   Sep19 ,   2129 ,   65 ,   3- 3 ,      65 ,       0,
   Oct19 ,   2001 ,   60 ,   3- 3 ,      59 ,       1,
   Nov19 ,   1857 ,   93 ,   4- 5 ,      93 ,       0,
   Dec19 ,   1806 ,   95 ,   5- 6 ,      95 ,       0,
   Jan20 ,   1808 ,   87 ,   4- 5 ,      87 ,       0,
   Feb20 ,   1843 ,   59 ,   3- 4 ,      59 ,       0,
   Mar20 ,   1870 ,   41 ,   2- 3 ,      41 ,       0,
   Apr20 ,   1880 ,   96 ,   5- 6 ,      96 ,       0,
   May20 ,   1832 ,  117 ,   6- 7 ,     117 ,       0,
   Jun20 ,   1734 ,   72 ,   4- 5 ,      71 ,       1,
   Jul20 ,   1841 ,   71 ,   3- 4 ,      71 ,       0,
   Aug20 ,   1981 ,   39 ,   2- 2 ,      38 ,       1,
   Sep20 ,   2094 ,   75 ,   3- 4 ,      73 ,       2,
   Oct20 ,   2183 ,   60 ,   2- 3 ,      60 ,       0,
   Nov20 ,   2204 ,   40 ,   2- 2 ,      40 ,       0,
   Dec20 ,   2251 ,   31 ,   1- 2 ,      31 ,       0,
   Jan21 ,   2329 ,   76 ,   3- 4 ,      76 ,       0,
   Feb21 ,   2477 ,   57 ,   2- 3 ,      57 ,       0,
   Mar21 ,   2538 ,   78 ,   3- 3 ,      78 ,       0,
   Apr21 ,   2365 ,   65 ,   2- 3 ,      64 ,       1,
   May21 ,   2415 ,   56 ,   2- 3 ,      56 ,       0,
   Jun21 ,   2407 ,   51 ,   2- 2 ,      51 ,       0,
   Jul21 ,   2387 ,   53 ,   2- 3 ,      49 ,       4,
   Aug21 ,   2545 ,   79 ,   3- 3 ,      34 ,      45,
   Sep21 ,   2673 ,   62 ,   2- 3 ,      35 ,      27,
   Oct21 ,   2699 ,  120 ,   4- 5 ,      21 ,      99,
   Nov21 ,   2766 ,   79 ,   3- 3 ,      24 ,      55,
   Dec21 ,   2494 ,  192 ,   7- 8 ,      18 ,     174,
   Jan22 ,   2237 ,  106 ,   4- 5 ,      13 ,      93,
   Feb22 ,   2183 ,  102 ,   4- 5 ,       8 ,      94,
   Mar22 ,   2156 ,   84 ,   3- 4 ,       8 ,      76,
   Apr22 ,   2034 ,   91 ,   4- 5 ,       7 ,      84,
   May22 ,   1859 ,  117 ,   6- 7 ,       9 ,     108,
   Jun22 ,   1884 ,   81 ,   4- 5 ,       7 ,      74,
   Jul22 ,   1668 ,   57 ,   3- 4 ,      16 ,      41,
   Aug22 ,   1775 ,   42 ,   2- 3 ,      18 ,      24,
   Sep22 ,   1913 ,   35 ,   2- 2 ,      22 ,      13,
   Oct22 ,   2105 ,   65 ,   3- 3 ,      33 ,      32,
   Nov22 ,   2331 ,   90 ,   3- 4 ,      22 ,      68,
   Dec22 ,   2388 ,  138 ,   5- 6 ,      15 ,     123,
   Jan23 ,   2341 ,   84 ,   3- 4 ,      27 ,      57,
   Feb23 ,   2351 ,   59 ,   2- 3 ,      22 ,      37,
   Mar23 ,   2367 ,   68 ,   3- 3 ,      18 ,      50,
   Apr23 ,   2340 ,   67 ,   2- 3 ,      16 ,      51,
   May23 ,   2246 ,   74 ,   3- 4 ,      20 ,      54,
   Jun23 ,   2011 ,  167 ,   8- 9 ,      23 ,     144,
   Jul23 ,   1790 ,  238 ,  12-14 ,      32 ,     206,
   Aug23 ,   1556 ,  198 ,  12-13 ,      30 ,     168,
   Sep23 ,   1390 ,  218 ,  14-16 ,      33 ,     185,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   2089 , 4931 ,   4- 4 ,    2736 ,    2195,
 Percent ,        ,      ,        ,    131% ,    105%,
