"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,   5307 ,  239 ,   4- 5 ,     239 ,       0,
   Nov18 ,   5258 ,  164 ,   3- 3 ,     164 ,       0,
   Dec18 ,   5262 ,   87 ,   1- 2 ,      87 ,       0,
   Jan19 ,   5395 ,  177 ,   3- 3 ,     168 ,       9,
   Feb19 ,   5485 ,  113 ,   2- 2 ,     113 ,       0,
   Mar19 ,   5444 ,  154 ,   3- 3 ,     153 ,       1,
   Apr19 ,   5299 ,  202 ,   4- 4 ,     202 ,       0,
   May19 ,   5281 ,  168 ,   3- 3 ,     165 ,       3,
   Jun19 ,   5333 ,  198 ,   3- 4 ,     197 ,       1,
   Jul19 ,   5203 ,   34 ,   1- 1 ,      32 ,       2,
   Aug19 ,   5093 ,  343 ,   6- 7 ,     343 ,       0,
   Sep19 ,   5280 ,  241 ,   4- 5 ,     240 ,       1,
   Oct19 ,   5174 ,  173 ,   3- 4 ,     170 ,       3,
   Nov19 ,   5118 ,  263 ,   5- 5 ,     257 ,       6,
   Dec19 ,   5175 ,  209 ,   4- 4 ,     207 ,       2,
   Jan20 ,   5259 ,  233 ,   4- 5 ,     233 ,       0,
   Feb20 ,   5335 ,  148 ,   3- 3 ,     148 ,       0,
   Mar20 ,   5362 ,  155 ,   3- 3 ,     154 ,       1,
   Apr20 ,   5290 ,  274 ,   5- 5 ,     274 ,       0,
   May20 ,   5168 ,  312 ,   6- 6 ,     312 ,       0,
   Jun20 ,   5022 ,  182 ,   3- 4 ,     181 ,       1,
   Jul20 ,   5127 ,  245 ,   4- 5 ,     245 ,       0,
   Aug20 ,   5288 ,  145 ,   2- 3 ,     144 ,       1,
   Sep20 ,   5372 ,  287 ,   5- 6 ,     285 ,       2,
   Oct20 ,   5355 ,  160 ,   3- 3 ,     160 ,       0,
   Nov20 ,   5332 ,  189 ,   3- 4 ,     187 ,       2,
   Dec20 ,   5380 ,  110 ,   2- 2 ,     110 ,       0,
   Jan21 ,   5475 ,  259 ,   4- 5 ,     257 ,       2,
   Feb21 ,   5538 ,  196 ,   3- 4 ,     196 ,       0,
   Mar21 ,   5587 ,  204 ,   3- 4 ,     203 ,       1,
   Apr21 ,   5379 ,  237 ,   4- 5 ,     236 ,       1,
   May21 ,   5347 ,  214 ,   4- 4 ,     214 ,       0,
   Jun21 ,   5258 ,  257 ,   5- 5 ,     256 ,       1,
   Jul21 ,   5278 ,  256 ,   4- 5 ,     215 ,      41,
   Aug21 ,   5526 ,  301 ,   5- 6 ,      88 ,     213,
   Sep21 ,   5617 ,  227 ,   4- 4 ,     106 ,     121,
   Oct21 ,   5597 ,  387 ,   6- 7 ,      78 ,     309,
   Nov21 ,   5613 ,  250 ,   4- 5 ,      74 ,     176,
   Dec21 ,   5325 ,  435 ,   8- 8 ,      65 ,     370,
   Jan22 ,   5102 ,  290 ,   5- 6 ,      59 ,     231,
   Feb22 ,   5085 ,  265 ,   5- 5 ,      43 ,     222,
   Mar22 ,   4997 ,  272 ,   5- 6 ,      33 ,     239,
   Apr22 ,   4789 ,  260 ,   5- 6 ,      29 ,     231,
   May22 ,   4523 ,  401 ,   8- 9 ,      56 ,     345,
   Jun22 ,   4510 ,  313 ,   6- 7 ,      40 ,     273,
   Jul22 ,   4445 ,  234 ,   5- 6 ,      56 ,     178,
   Aug22 ,   4679 ,  219 ,   4- 5 ,      63 ,     156,
   Sep22 ,   4841 ,  214 ,   4- 5 ,      99 ,     115,
   Oct22 ,   5019 ,  297 ,   6- 6 ,     110 ,     187,
   Nov22 ,   5229 ,  328 ,   6- 7 ,      79 ,     249,
   Dec22 ,   5280 ,  310 ,   5- 6 ,      58 ,     252,
   Jan23 ,   5218 ,  241 ,   4- 5 ,      76 ,     165,
   Feb23 ,   5241 ,  181 ,   3- 4 ,      76 ,     105,
   Mar23 ,   5256 ,  227 ,   4- 5 ,      60 ,     167,
   Apr23 ,   5124 ,  239 ,   4- 5 ,      49 ,     190,
   May23 ,   4936 ,  274 ,   5- 6 ,      71 ,     203,
   Jun23 ,   4627 ,  471 ,  10-10 ,      81 ,     390,
   Jul23 ,   4277 ,  538 ,  12-13 ,      86 ,     452,
   Aug23 ,   4073 ,  414 ,  10-10 ,      88 ,     326,
   Sep23 ,   3928 ,  459 ,  11-12 ,      92 ,     367,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   5150 ,14875 ,   5- 5 ,    8562 ,    6313,
 Percent ,        ,      ,        ,    166% ,    123%,
