"ID","BDAT","FDAT","ARDAT","LACT","CBRD","XLAME","LLAME","PSTRG","Event","DIM","Date","Remark","Protocols","Technician",
     38249 ,02/19/20,02/15/23,00000000 ,   2 ,J    ,    1 ,    0 ,    2 ,FOOTRIM    ,  61 ,04/17/23,TRM             ,Pedro Ch,,
     38249 ,02/19/20,02/15/23,00000000 ,   2 ,J    ,    1 ,    0 ,    2 ,LAME       ,  96 ,05/22/23,LEGIQQ          ,Injury          ,,
     38249 ,02/19/20,02/15/23,00000000 ,   2 ,J    ,    1 ,    0 ,    2 ,FOOTRIM    , 172 ,08/06/23,TRM             ,,,
     38253 ,02/19/20,02/04/22,01/30/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 299 ,11/30/22,TRM             ,Pedro Ch,,
     38253 ,02/19/20,01/30/23,00000000 ,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 194 ,08/12/23,TRM             ,,,
     38257 ,02/20/20,02/16/22,00000000 ,   1 ,H    ,    1 ,    0 ,    2 ,LAME       , 256 ,10/30/22,TETDLR          ,WART            ,Pedro Ch,
     38258 ,02/21/20,01/02/22,12/25/22,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 297 ,10/26/22,TRM             ,Pedro Ch,,
     38265 ,02/21/20,12/27/21,02/13/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 345 ,12/07/22,TRM             ,Pedro Ch,,
     38268 ,02/22/20,01/29/22,06/09/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 478 ,05/22/23,TRM             ,,,
     38271 ,12/17/19,01/01/23,00000000 ,   2 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 160 ,06/10/23,TRM             ,,,
     38274 ,02/23/20,01/06/22,12/28/22,   1 ,H    ,    1 ,    0 ,    2 ,LAME       , 179 ,07/04/22,LEGIRH          ,Injury          ,Hugo Alberto,
     38274 ,02/23/20,01/06/22,12/28/22,   1 ,H    ,    1 ,    0 ,    2 ,FOOTRIM    , 293 ,10/26/22,TRM             ,Pedro Ch,,
     38278 ,02/23/20,01/18/22,01/06/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 302 ,11/16/22,TRM             ,Pedro Ch,,
     38278 ,02/23/20,01/06/23,00000000 ,   2 ,J    ,    1 ,    0 ,    2 ,LAME       ,  87 ,04/03/23,TETDQQ          ,WART            ,Pedro Ch,
     38278 ,02/23/20,01/06/23,00000000 ,   2 ,J    ,    1 ,    0 ,    2 ,FOOTRIM    , 195 ,07/20/23,TRM             ,,,
     38279 ,02/23/20,01/08/22,02/16/23,   1 ,H    ,    1 ,    0 ,    2 ,LAME       , 266 ,10/01/22,EXCFRR          ,Foot Rot Excd   ,Pedro Ch,
     38279 ,02/23/20,01/08/22,02/16/23,   1 ,H    ,    2 ,    0 ,    2 ,LAME       , 269 ,10/04/22,EXCFRR          ,Foot Rot Excd   ,Pedro Ch,
     38279 ,02/23/20,01/08/22,02/16/23,   1 ,H    ,    2 ,    0 ,    2 ,FOOTRIM    , 340 ,12/14/22,TRM             ,Pedro Ch,,
     38282 ,02/24/20,01/10/22,12/31/22,   1 ,       /,    0 ,    0 ,    2 ,FOOTRIM    , 289 ,10/26/22,TRM             ,Pedro Ch,,
     38283 ,02/24/20,01/28/22,04/26/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 390 ,02/22/23,TRM             ,Pedro Ch,,
     38292 ,02/25/20,01/17/22,01/18/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 250 ,09/24/22,TRM             ,Pedro Ch,,
     38292 ,02/25/20,01/17/22,01/18/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 310 ,11/23/22,TRM             ,Pedro Ch,,
     38292 ,02/25/20,01/18/23,00000000 ,   2 ,H    ,    1 ,    0 ,    2 ,LAME       , 172 ,07/09/23,BLKWQQ          ,White Line      ,,
     38292 ,02/25/20,01/18/23,00000000 ,   2 ,H    ,    1 ,    0 ,    2 ,FOOTRIM    , 246 ,09/21/23,TRM             ,,,
     38293 ,02/25/20,01/03/22,01/25/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 324 ,11/23/22,TRM             ,Pedro Ch,,
     38300 ,02/26/20,01/12/22,01/02/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 294 ,11/02/22,TRM             ,Pedro Ch,,
     38300 ,02/26/20,01/02/23,00000000 ,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 125 ,05/07/23,TRM             ,,,
     38300 ,02/26/20,01/02/23,00000000 ,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 241 ,08/31/23,TRM             ,Antonio Jamboa,,
     38301 ,02/26/20,02/05/22,04/14/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 368 ,02/08/23,TRM             ,Pedro Ch,,
     38304 ,02/26/20,03/18/22,03/20/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 299 ,01/11/23,TRM             ,Pedro Ch,,
     38306 ,02/27/20,01/20/22,01/06/23,   1 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 293 ,11/09/22,TRM             ,Pedro Ch,,
     38306 ,02/27/20,01/06/23,00000000 ,   2 ,-    ,    0 ,    0 ,    2 ,FOOTRIM    , 268 ,10/01/23,TRM             ,Antonio Jamboa,,
     38313 ,02/27/20,01/29/22,01/21/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 298 ,11/23/22,TRM             ,Pedro Ch,,
