"ID","CBRD","BDAT","FDAT","LACT","FTDAT","XLAME","LLAME","LMREM","Event","DIM","Date","Remark","Protocols","Technician",
         2 ,X    ,10/02/22,00000000 ,   0 ,10/02/22,    0 ,    0 ,-        ,SOLD       ,   3 ,10/05/22,                ,                ,,
         3 ,-    ,12/13/20,09/21/22,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,   5 ,09/26/22,LAME            ,                ,Teodoro,
        13 ,J    ,04/01/19,06/18/22,   2 ,05/13/23,    1 ,    0 ,BLKTQQ   ,DRY        , 298 ,04/12/23,SPCDC           ,SPECTRA-DC.IM   ,,
        13 ,J    ,04/01/19,06/05/23,   3 ,05/13/23,    0 ,    1 ,-        ,SOLD       ,  10 ,06/15/23,DIGESTIV        ,                ,Teodoro,
        18 ,X    ,04/21/18,03/11/20,   1 ,01/19/21,    0 ,    0 ,-        ,DRY        , 321 ,01/26/21,SPCDC           ,SPECTRA-DC.IM   ,,
        18 ,X    ,04/21/18,03/17/21,   2 ,01/19/21,    0 ,    0 ,-        ,DRY        , 293 ,01/04/22,SPCDC           ,SPECTRA-DC.IM   ,,
        22 ,X    ,04/23/18,05/13/20,   1 ,07/24/20,    2 ,    0 ,BLKULHRH ,SOLD       ,  82 ,08/03/20,LAME            ,                ,,
        37 ,-    ,01/12/21,10/09/22,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 183 ,04/10/23,2T MAST         ,                ,Teodoro,
        44 ,J    ,06/12/18,11/03/21,   3 ,12/07/22,    3 ,    0 ,BLKTLF   ,DRY        , 407 ,12/15/22,SPCDC           ,SPECTRA-DC.IM   ,,
        44 ,J    ,06/12/18,02/21/23,   4 ,12/07/22,    0 ,    3 ,-        ,DIED       ,   1 ,02/22/23,PNEU            ,                ,,
        58 ,-    ,12/20/20,09/07/22,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  82 ,11/28/22,2T MILK         ,                ,Teodoro,
        64 ,-    ,03/28/21,12/26/22,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  35 ,01/30/23,DIGESTIV        ,                ,Teodoro,
        80 ,-    ,02/21/21,12/01/22,   1 ,00000000 ,    0 ,    0 ,-        ,DIED       ,   2 ,12/03/22,UNKNOWN         ,                ,,
        96 ,J    ,05/14/18,03/26/20,   1 ,01/12/21,    3 ,    0 ,BLKURF   ,DRY        , 300 ,01/20/21,SPCDC           ,SPECTRA-DC.IM   ,,
       103 ,J    ,05/15/18,03/14/20,   1 ,01/12/21,    0 ,    0 ,-        ,DRY        , 312 ,01/20/21,SPCDC           ,SPECTRA-DC.IM   ,,
       103 ,J    ,05/15/18,03/19/21,   2 ,02/15/22,    0 ,    0 ,-        ,DRY        , 340 ,02/22/22,SPCDC           ,                ,,
       107 ,X    ,05/15/18,03/03/20,   1 ,01/19/21,    0 ,    0 ,-        ,DRY        , 329 ,01/26/21,SPCDC           ,SPECTRA-DC.IM   ,,
       112 ,J    ,05/17/18,03/26/20,   1 ,01/12/21,    0 ,    0 ,-        ,DRY        , 300 ,01/20/21,SPCDC           ,SPECTRA-DC.IM   ,,
       112 ,J    ,05/17/18,03/21/21,   2 ,01/12/21,    0 ,    0 ,-        ,SOLD       ,   8 ,03/29/21,3.29.21         ,                ,,
       112 ,J    ,07/15/20,06/03/22,   1 ,12/17/22,    0 ,    0 ,-        ,DRY        , 299 ,03/29/23,SPCDC           ,SPECTRA-DC.IM   ,,
       114 ,-    ,03/03/21,12/05/22,   1 ,09/20/23,    0 ,    0 ,-        ,DRY        , 296 ,09/27/23,SPCDC           ,SPECTRA-DC.IM   ,,
       126 ,-    ,03/03/21,10/31/22,   1 ,11/20/22,    1 ,    0 ,EXCFLRRR ,DIED       , 245 ,07/03/23,PNEU            ,                ,,
       128 ,J    ,05/19/18,12/18/20,   2 ,11/27/20,    0 ,    1 ,-        ,SOLD       ,   9 ,12/27/20,12.27.20        ,                ,,
       131 ,J    ,08/05/20,04/24/22,   1 ,09/03/22,    0 ,    0 ,-        ,DRY        , 311 ,03/01/23,SPCDC           ,SPECTRA-DC.IM   ,,
       132 ,J    ,05/20/18,03/01/20,   1 ,00000000 ,    0 ,    0 ,-        ,DRY        , 380 ,03/16/21,SPCDC           ,SPECTRA-DC.IM   ,,
       151 ,X    ,05/26/18,03/01/20,   1 ,08/28/20,    2 ,    0 ,BLKURH   ,SOLD       , 274 ,11/30/20,LAME            ,                ,,
       162 ,J    ,05/27/18,04/02/20,   1 ,01/19/21,    0 ,    0 ,-        ,DRY        , 299 ,01/26/21,SPCDC           ,SPECTRA-DC.IM   ,,
       165 ,-    ,12/10/20,10/28/22,   1 ,06/01/22,    0 ,    0 ,-        ,DIED       ,  20 ,11/17/22,PNEU            ,                ,,
       175 ,-    ,11/10/20,09/02/22,   1 ,00000000 ,    0 ,    0 ,-        ,DIED       , 205 ,03/26/23,PNEU            ,                ,,
       181 ,X    ,06/03/18,05/17/20,   1 ,03/02/21,    0 ,    0 ,-        ,DRY        , 296 ,03/09/21,SPCDC           ,SPECTRA-DC.IM   ,,
       181 ,X    ,06/03/18,05/17/20,   1 ,03/02/21,    0 ,    0 ,-        ,DIED       , 307 ,03/20/21,PNEU            ,                ,,
       182 ,J    ,06/06/18,03/02/21,   2 ,05/10/22,    0 ,    0 ,-        ,DRY        , 442 ,05/18/22,SPCDC           ,SPECTRA-DC.IM   ,,
       182 ,J    ,06/06/18,07/21/22,   3 ,05/10/22,    0 ,    0 ,-        ,DIED       ,  13 ,08/03/22,INJURY          ,                ,,
       187 ,X    ,06/06/18,05/13/20,   1 ,03/02/21,    0 ,    0 ,-        ,DRY        , 300 ,03/09/21,SPCDC           ,SPECTRA-DC.IM   ,,
       187 ,X    ,06/06/18,04/23/21,   2 ,03/22/22,    0 ,    0 ,-        ,DRY        , 340 ,03/29/22,SPCDC           ,                ,,
       190 ,-    ,11/20/20,08/31/22,   1 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,   5 ,09/05/22,INJURY          ,                ,Teodoro,
       220 ,X    ,03/09/21,02/27/23,   1 ,03/09/21,    0 ,    0 ,-        ,SOLD       ,  31 ,03/30/23,NO MILK         ,                ,Teodoro,
       228 ,J    ,03/13/21,12/29/22,   1 ,03/13/21,    0 ,    0 ,-        ,SOLD       ,  39 ,02/06/23,DIGESTIV        ,                ,Teodoro,
       244 ,X    ,06/22/18,03/30/20,   1 ,01/12/21,    0 ,    0 ,-        ,DRY        , 296 ,01/20/21,SPCDC           ,SPECTRA-DC.IM   ,,
       246 ,-    ,12/10/20,11/08/22,   1 ,09/13/23,    1 ,    0 ,TETDQQ   ,DRY        , 316 ,09/20/23,SPCDC           ,SPECTRA-DC.IM   ,,
       264 ,-    ,12/10/20,09/21/22,   1 ,07/01/23,    0 ,    0 ,-        ,DRY        , 287 ,07/05/23,SPCDC           ,SPECTRA-DC.IM   ,,
