"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Oct18 ,    143 ,    7 ,   3- 7 ,       7 ,       0,
   Nov18 ,    263 ,    8 ,   2- 4 ,       8 ,       0,
   Dec18 ,    464 ,    7 ,   1- 2 ,       7 ,       0,
   Jan19 ,    641 ,    1 ,   0- 0 ,       0 ,       1,
   Feb19 ,    769 ,    3 ,   0- 1 ,       3 ,       0,
   Mar19 ,    803 ,    2 ,   0- 0 ,       2 ,       0,
   Apr19 ,    800 ,   31 ,   3- 5 ,      30 ,       1,
   May19 ,    769 ,   28 ,   3- 4 ,      28 ,       0,
   Jun19 ,    960 ,    5 ,   0- 1 ,       1 ,       4,
   Jul19 ,   1529 ,    3 ,   0- 0 ,       2 ,       1,
   Aug19 ,   2439 ,   27 ,   1- 1 ,      22 ,       5,
   Sep19 ,   3099 ,   12 ,   0- 1 ,       2 ,      10,
   Oct19 ,   3548 ,   19 ,   0- 1 ,       1 ,      18,
   Nov19 ,   4169 ,   24 ,   0- 1 ,       1 ,      23,
   Dec19 ,   4530 ,   18 ,   0- 0 ,       2 ,      16,
   Jan20 ,   4773 ,   16 ,   0- 0 ,       0 ,      16,
   Feb20 ,   4933 ,   25 ,   0- 1 ,       1 ,      24,
   Mar20 ,   4914 ,  434 ,   8- 9 ,     232 ,     202,
   Apr20 ,   4979 ,  563 ,  11-12 ,     422 ,     141,
   May20 ,   5160 ,  777 ,  14-15 ,     657 ,     120,
   Jun20 ,   4758 ,  950 ,  19-20 ,     850 ,     100,
   Jul20 ,   4426 ,  812 ,  17-19 ,     622 ,     190,
   Aug20 ,   4572 ,  781 ,  16-17 ,     581 ,     200,
   Sep20 ,   4690 ,  836 ,  17-18 ,     660 ,     176,
   Oct20 ,   4779 ,  368 ,   7- 8 ,     288 ,      80,
   Nov20 ,   4881 ,  579 ,  11-12 ,     412 ,     167,
   Dec20 ,   5009 ,  718 ,  14-15 ,     431 ,     287,
   Jan21 ,   5169 ,  715 ,  13-14 ,     417 ,     298,
   Feb21 ,   5251 ,  603 ,  11-12 ,     439 ,     164,
   Mar21 ,   5158 ,  649 ,  12-13 ,     500 ,     149,
   Apr21 ,   5086 ,  519 ,  10-10 ,     367 ,     152,
   May21 ,   5082 ,  629 ,  12-13 ,     465 ,     164,
   Jun21 ,   4932 ,  732 ,  14-15 ,     560 ,     172,
   Jul21 ,   4833 ,  852 ,  17-18 ,     635 ,     217,
   Aug21 ,   4667 ,  812 ,  17-18 ,     651 ,     161,
   Sep21 ,   4647 ,  852 ,  17-19 ,     683 ,     169,
   Oct21 ,   4706 ,  932 ,  19-20 ,     615 ,     317,
   Nov21 ,   4781 ,  807 ,  16-17 ,     552 ,     255,
   Dec21 ,   4829 ,  842 ,  17-18 ,     531 ,     311,
   Jan22 ,   4963 ,  817 ,  16-17 ,     511 ,     306,
   Feb22 ,   5127 ,  689 ,  13-14 ,     431 ,     258,
   Mar22 ,   5219 ,  847 ,  15-16 ,     581 ,     266,
   Apr22 ,   5400 ,  650 ,  11-12 ,     440 ,     210,
   May22 ,   6075 ,  342 ,   5- 6 ,     153 ,     189,
   Jun22 ,   6612 ,  625 ,   9-10 ,     332 ,     293,
   Jul22 ,   6330 , 1038 ,  16-17 ,     669 ,     369,
   Aug22 ,   6228 ,  987 ,  15-16 ,     654 ,     333,
   Sep22 ,   6572 , 1088 ,  16-17 ,     686 ,     402,
   Oct22 ,   6610 , 1075 ,  16-16 ,     754 ,     321,
   Nov22 ,   6476 , 1168 ,  17-18 ,     854 ,     314,
   Dec22 ,   6403 , 1088 ,  16-17 ,     809 ,     279,
   Jan23 ,   6406 , 1004 ,  15-16 ,     760 ,     244,
   Feb23 ,   6445 ,  980 ,  15-15 ,     785 ,     195,
   Mar23 ,   6134 , 1188 ,  19-20 ,     994 ,     194,
   Apr23 ,   5783 ,  870 ,  14-15 ,     575 ,     295,
   May23 ,   6015 ,  906 ,  14-15 ,     586 ,     320,
   Jun23 ,   6246 , 1033 ,  16-17 ,     712 ,     321,
   Jul23 ,   6117 ,  992 ,  15-16 ,     742 ,     250,
   Aug23 ,   6091 , 1053 ,  17-17 ,     665 ,     388,
   Sep23 ,   6132 ,  951 ,  15-16 ,     700 ,     251,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   4489 ,35389 ,  13-13 ,   25080 ,   10309,
 Percent ,        ,      ,        ,    ***% ,    ***%,
