"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,   3487 ,  100 ,   3- 3 ,     100 ,       0,
   Nov18 ,   3540 ,   79 ,   2- 2 ,      79 ,       0,
   Dec18 ,   3673 ,   94 ,   2- 3 ,      21 ,      73,
   Jan19 ,   3668 ,   73 ,   2- 2 ,       6 ,      67,
   Feb19 ,   3544 ,   80 ,   2- 2 ,      11 ,      69,
   Mar19 ,   3393 ,   77 ,   2- 2 ,      13 ,      64,
   Apr19 ,   3445 ,   86 ,   2- 3 ,      21 ,      65,
   May19 ,   3466 ,   82 ,   2- 3 ,       9 ,      73,
   Jun19 ,   3373 ,   83 ,   2- 3 ,      13 ,      70,
   Jul19 ,   3475 ,   99 ,   3- 3 ,       8 ,      91,
   Aug19 ,   3503 ,  118 ,   3- 4 ,      23 ,      95,
   Sep19 ,   3369 ,  111 ,   3- 4 ,      20 ,      91,
   Oct19 ,   3432 ,  149 ,   4- 5 ,      47 ,     102,
   Nov19 ,   3455 ,  105 ,   3- 3 ,      13 ,      92,
   Dec19 ,   3526 ,  110 ,   3- 3 ,      10 ,     100,
   Jan20 ,   3634 ,   83 ,   2- 3 ,      14 ,      69,
   Feb20 ,   3596 ,   69 ,   2- 2 ,       4 ,      65,
   Mar20 ,   3522 ,   67 ,   2- 2 ,      11 ,      56,
   Apr20 ,   3430 ,   93 ,   2- 3 ,      13 ,      80,
   May20 ,   3458 ,   70 ,   2- 2 ,       7 ,      63,
   Jun20 ,   3502 ,   90 ,   2- 3 ,       9 ,      81,
   Jul20 ,   3597 ,   87 ,   2- 3 ,      17 ,      70,
   Aug20 ,   3635 ,  117 ,   3- 3 ,      17 ,     100,
   Sep20 ,   3716 ,  204 ,   5- 6 ,      23 ,     181,
   Oct20 ,   3697 ,  116 ,   3- 3 ,      15 ,     101,
   Nov20 ,   3700 ,  135 ,   3- 4 ,      21 ,     114,
   Dec20 ,   3810 ,  108 ,   3- 3 ,      14 ,      94,
   Jan21 ,   3837 ,   72 ,   2- 2 ,       9 ,      63,
   Feb21 ,   3723 ,   80 ,   2- 2 ,      28 ,      52,
   Mar21 ,   3706 ,   59 ,   1- 2 ,      16 ,      43,
   Apr21 ,   3722 ,   57 ,   1- 2 ,      14 ,      43,
   May21 ,   3723 ,   51 ,   1- 2 ,       8 ,      43,
   Jun21 ,   3672 ,   91 ,   2- 3 ,       8 ,      83,
   Jul21 ,   3601 ,  191 ,   5- 6 ,      36 ,     155,
   Aug21 ,   3605 ,  371 ,  10-11 ,      82 ,     289,
   Sep21 ,   3691 ,  457 ,  12-13 ,     107 ,     350,
   Oct21 ,   3821 ,  411 ,  10-11 ,     121 ,     290,
   Nov21 ,   3953 ,  325 ,   8- 9 ,      95 ,     230,
   Dec21 ,   4079 ,  359 ,   8- 9 ,      88 ,     271,
   Jan22 ,   4227 ,  219 ,   5- 5 ,      99 ,     120,
   Feb22 ,   4292 ,  272 ,   6- 7 ,      86 ,     186,
   Mar22 ,   4246 ,  372 ,   8- 9 ,      99 ,     273,
   Apr22 ,   4210 ,  378 ,   8- 9 ,     108 ,     270,
   May22 ,   4220 ,  368 ,   8- 9 ,      75 ,     293,
   Jun22 ,   4262 ,  457 ,  10-11 ,      90 ,     367,
   Jul22 ,   4288 ,  389 ,   9- 9 ,      81 ,     308,
   Aug22 ,   4229 ,  348 ,   8- 9 ,     141 ,     207,
   Sep22 ,   4061 ,  389 ,   9-10 ,     136 ,     253,
   Oct22 ,   3755 ,  309 ,   8- 9 ,     141 ,     168,
   Nov22 ,   3624 ,  328 ,   8- 9 ,     104 ,     224,
   Dec22 ,   3507 ,  317 ,   8- 9 ,      95 ,     222,
   Jan23 ,   3419 ,  232 ,   6- 7 ,      73 ,     159,
   Feb23 ,   3289 ,  285 ,   8- 9 ,      83 ,     202,
   Mar23 ,   3170 ,  296 ,   9-10 ,      57 ,     239,
   Apr23 ,   3171 ,  163 ,   5- 5 ,      47 ,     116,
   May23 ,   3265 ,  270 ,   8- 9 ,      69 ,     201,
   Jun23 ,   3279 ,  322 ,   9-10 ,      76 ,     246,
   Jul23 ,   3432 ,  269 ,   7- 8 ,      93 ,     176,
   Aug23 ,   3591 ,  362 ,   9-10 ,     127 ,     235,
   Sep23 ,   3704 ,  312 ,   8- 9 ,     114 ,     198,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   3667 ,11866 ,   5- 5 ,    3165 ,    8701,
 Percent ,        ,      ,        ,     86% ,    ***%,
