"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Jan21 ,     19 ,    9 ,  34-56 ,       3 ,       6,
   Feb21 ,     52 ,    7 ,   9-18 ,       4 ,       3,
   Mar21 ,     92 ,    6 ,   4- 9 ,       4 ,       2,
   Apr21 ,    117 ,    9 ,   5-10 ,       4 ,       5,
   May21 ,    149 ,   14 ,   7-12 ,      10 ,       4,
   Jun21 ,    213 ,   17 ,   6-10 ,       6 ,      11,
   Jul21 ,    359 ,   39 ,   9-12 ,      21 ,      18,
   Aug21 ,    567 ,   41 ,   6- 8 ,      26 ,      15,
   Sep21 ,    668 ,   56 ,   7- 9 ,      45 ,      11,
   Oct21 ,    697 ,   77 ,  10-12 ,      41 ,      36,
   Nov21 ,    739 ,  107 ,  13-16 ,      66 ,      41,
   Dec21 ,    747 ,  137 ,  17-19 ,      78 ,      59,
   Jan22 ,    750 ,  115 ,  14-16 ,      71 ,      44,
   Feb22 ,    760 ,   83 ,  10-12 ,      48 ,      35,
   Mar22 ,    763 ,  114 ,  13-16 ,      82 ,      32,
   Apr22 ,    760 ,  136 ,  16-19 ,      96 ,      40,
   May22 ,    684 ,  241 ,  33-36 ,     224 ,      17,
   Jun22 ,    486 ,  142 ,  27-31 ,     116 ,      26,
   Jul22 ,    509 ,   87 ,  15-19 ,      25 ,      62,
   Aug22 ,    536 ,  142 ,  24-28 ,      68 ,      74,
   Sep22 ,    490 ,  100 ,  18-22 ,      43 ,      57,
   Oct22 ,    450 ,  111 ,  22-26 ,      49 ,      62,
   Nov22 ,    424 ,  104 ,  22-26 ,      49 ,      55,
   Dec22 ,    400 ,   96 ,  22-26 ,      56 ,      40,
   Jan23 ,    376 ,   74 ,  17-21 ,      46 ,      28,
   Feb23 ,    382 ,   60 ,  14-17 ,      34 ,      26,
   Mar23 ,    393 ,   18 ,   4- 6 ,       2 ,      16,
   Apr23 ,    399 ,   54 ,  12-15 ,      21 ,      33,
   May23 ,    400 ,   67 ,  15-18 ,      32 ,      35,
   Jun23 ,    400 ,   75 ,  17-20 ,      55 ,      20,
   Jul23 ,    445 ,   73 ,  14-18 ,      48 ,      25,
   Aug23 ,    498 ,   69 ,  12-15 ,      42 ,      27,
   Sep23 ,    521 ,  113 ,  20-23 ,      68 ,      45,
   Oct23 ,    524 ,   11 ,    -   ,       9 ,       2,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    254 , 2604 ,  17-17 ,    1592 ,    1012,
 Percent ,        ,      ,        ,    ***% ,    ***%,
