"Dates","Milking","Total","68% CI","LAME","FOOTRIM",
   Oct18 ,    380 ,   25 ,   5- 8 ,      25 ,       0,
   Nov18 ,    391 ,   14 ,   3- 5 ,      14 ,       0,
   Dec18 ,    413 ,    3 ,   0- 1 ,       3 ,       0,
   Jan19 ,    477 ,    5 ,   1- 2 ,       2 ,       3,
   Feb19 ,    547 ,    1 ,   0- 0 ,       1 ,       0,
   May19 ,    805 ,    3 ,   0- 1 ,       1 ,       2,
   Jun19 ,    958 ,    2 ,   0- 0 ,       2 ,       0,
   Aug19 ,    967 ,    3 ,   0- 1 ,       1 ,       2,
   Sep19 ,    458 ,    2 ,   0- 1 ,       1 ,       1,
   Oct19 ,    441 ,    2 ,   0- 1 ,       0 ,       2,
   Dec19 ,    428 ,    5 ,   1- 2 ,       1 ,       4,
   Jan20 ,    421 ,    2 ,   0- 1 ,       2 ,       0,
   Feb20 ,    417 ,    3 ,   0- 1 ,       2 ,       1,
   May20 ,    342 ,    2 ,   0- 1 ,       2 ,       0,
   Jul20 ,    511 ,    1 ,   0- 1 ,       1 ,       0,
   Sep20 ,    436 ,    1 ,   0- 1 ,       1 ,       0,
   Oct20 ,    473 ,    2 ,   0- 1 ,       1 ,       1,
   Nov20 ,    510 ,    4 ,   0- 1 ,       3 ,       1,
   Dec20 ,    532 ,    1 ,   0- 0 ,       1 ,       0,
   Jan21 ,    503 ,    3 ,   0- 1 ,       2 ,       1,
   Feb21 ,    445 ,    1 ,   0- 1 ,       1 ,       0,
   Aug21 ,    404 ,   22 ,   4- 7 ,      10 ,      12,
   Sep21 ,    391 ,   19 ,   4- 6 ,       8 ,      11,
   Oct21 ,    419 ,   22 ,   4- 6 ,       8 ,      14,
   Nov21 ,    432 ,   32 ,   6- 9 ,       8 ,      24,
   Dec21 ,    431 ,   34 ,   7- 9 ,       7 ,      27,
   Jan22 ,    408 ,   37 ,   8-10 ,       8 ,      29,
   Feb22 ,    399 ,   18 ,   4- 6 ,       5 ,      13,
   Mar22 ,    411 ,   34 ,   7-10 ,       8 ,      26,
   Apr22 ,    459 ,   22 ,   4- 6 ,       4 ,      18,
   May22 ,    572 ,   30 ,   4- 6 ,      15 ,      15,
   Jun22 ,    665 ,   36 ,   5- 6 ,       9 ,      27,
   Jul22 ,    571 ,   26 ,   4- 5 ,      10 ,      16,
   Aug22 ,    598 ,   32 ,   4- 6 ,      19 ,      13,
   Sep22 ,    632 ,   27 ,   3- 5 ,      14 ,      13,
   Oct22 ,    653 ,   35 ,   4- 6 ,      20 ,      15,
   Nov22 ,    653 ,   31 ,   4- 6 ,      14 ,      17,
   Dec22 ,    749 ,   27 ,   3- 4 ,      16 ,      11,
   Jan23 ,    891 ,   29 ,   3- 4 ,      12 ,      17,
   Feb23 ,   1077 ,   49 ,   4- 5 ,      12 ,      37,
   Mar23 ,   1221 ,   54 ,   4- 5 ,      13 ,      41,
   Apr23 ,   1345 ,   49 ,   3- 4 ,      11 ,      38,
   May23 ,   1541 ,   37 ,   2- 3 ,       8 ,      29,
   Jun23 ,   1669 ,   57 ,   3- 4 ,      15 ,      42,
   Jul23 ,   1915 ,  100 ,   5- 6 ,      25 ,      75,
   Aug23 ,   2209 ,  109 ,   4- 5 ,      29 ,      80,
   Sep23 ,   2559 ,  104 ,   4- 4 ,      39 ,      65,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    677 , 1157 ,   3- 3 ,     414 ,     743,
 Percent ,        ,      ,        ,     61% ,    110%,
