"ID","CBRD","BDAT","FDAT","LACT","FTDAT","XLAME","LLAME","LMREM","Event","DIM","Date","Remark","Protocols","Technician",
     49259 ,X    ,11/07/13,06/23/17,   2 ,00000000 ,    0 ,    3 ,-        ,SOLD       , 606 ,02/19/19,CAR4            ,                ,,
     49832 ,X    ,12/07/13,09/09/19,   3 ,00000000 ,    0 ,    1 ,-        ,DIED       ,  52 ,10/31/19,B3              ,                ,,
     50024 ,J    ,12/19/13,10/18/20,   5 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 143 ,03/10/21,CAR1            ,                ,,
     50138 ,J    ,12/26/13,01/28/20,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  33 ,03/01/20,                ,                ,,
     50145 ,X    ,12/26/13,09/26/18,   3 ,00000000 ,    0 ,    2 ,-        ,SOLD       , 438 ,12/08/19,CAR4            ,                ,,
     50161 ,H    ,12/27/13,11/29/18,   4 ,00000000 ,    0 ,    1 ,-        ,DIED       , 400 ,01/03/20,SICK_BF         ,                ,,
     50218 ,X    ,12/30/13,02/18/19,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 335 ,01/19/20,CAR4            ,                ,,
     50313 ,X    ,01/05/14,11/13/18,   4 ,00000000 ,    0 ,    0 ,-        ,DIED       , 112 ,03/05/19,B3              ,                ,,
     50427 ,J    ,01/11/14,01/28/20,   5 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 244 ,09/28/20,CAR1            ,                ,,
     50464 ,X    ,01/13/14,02/28/19,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 337 ,01/31/20,CAR1            ,                ,,
     50654 ,X    ,01/27/14,06/26/19,   4 ,00000000 ,    0 ,    7 ,-        ,SOLD       ,  26 ,07/22/19,CAR1            ,                ,,
     50714 ,X    ,01/28/14,03/04/19,   4 ,00000000 ,    0 ,    0 ,-        ,DIED       ,  43 ,04/16/19,BEEF TRL        ,                ,,
     50829 ,X    ,02/03/14,12/08/18,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  68 ,02/14/19,CAR3            ,                ,,
     50919 ,J    ,02/10/14,01/11/20,   5 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 371 ,01/16/21,BFCARGIL        ,                ,,
     50962 ,X    ,02/12/14,07/02/19,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 606 ,02/27/21,FAT_COW         ,                ,,
     50979 ,J    ,02/13/14,09/05/22,   7 ,00000000 ,    0 ,    1 ,-        ,SOLD       ,  68 ,11/12/22,CAR4            ,                ,,
     50998 ,X    ,02/14/14,03/08/18,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 409 ,04/21/19,CAR4            ,                ,,
     51816 ,X    ,02/20/14,05/21/18,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 419 ,07/14/19,CAR3            ,                ,,
     51839 ,X    ,02/23/14,05/05/19,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 470 ,08/17/20,CAR4            ,                ,,
     51852 ,J    ,02/22/14,09/17/19,   4 ,00000000 ,    0 ,    0 ,-        ,DIED       , 394 ,10/15/20,MAST            ,                ,,
     51888 ,J    ,02/25/14,07/27/19,   4 ,00000000 ,    0 ,    3 ,-        ,SOLD       , 387 ,08/17/20,CAR2            ,                ,,
