"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Oct18 ,   1700 ,  430 ,  24-26 ,     364 ,      66,
   Nov18 ,   1767 ,  307 ,  16-18 ,     252 ,      55,
   Dec18 ,   1829 ,  317 ,  16-18 ,     252 ,      65,
   Jan19 ,   1897 ,  550 ,  27-30 ,     480 ,      70,
   Feb19 ,   1989 ,  367 ,  17-19 ,     299 ,      68,
   Mar19 ,   2035 ,  580 ,  27-29 ,     482 ,      98,
   Apr19 ,   2060 ,  505 ,  23-25 ,     417 ,      88,
   May19 ,   2101 ,  590 ,  27-29 ,     494 ,      96,
   Jun19 ,   2085 ,  499 ,  23-24 ,     422 ,      77,
   Jul19 ,   2038 ,  486 ,  23-24 ,     385 ,     101,
   Aug19 ,   1994 ,  582 ,  28-30 ,     478 ,     104,
   Sep19 ,   1980 ,  485 ,  23-25 ,     400 ,      85,
   Oct19 ,   1912 ,  483 ,  24-26 ,     385 ,      98,
   Nov19 ,   1844 ,  507 ,  26-28 ,     400 ,     107,
   Dec19 ,   1784 ,  489 ,  26-28 ,     392 ,      97,
   Jan20 ,   1757 ,  581 ,  31-34 ,     452 ,     129,
   Feb20 ,   1735 ,  485 ,  26-29 ,     355 ,     130,
   Mar20 ,   1688 ,  545 ,  31-33 ,     403 ,     142,
   Apr20 ,   1666 ,  586 ,  33-36 ,     455 ,     131,
   May20 ,   1636 ,  378 ,  22-24 ,     294 ,      84,
   Jun20 ,   1665 ,  480 ,  27-29 ,     347 ,     133,
   Jul20 ,   1679 ,  424 ,  24-26 ,     324 ,     100,
   Aug20 ,   1689 ,  459 ,  26-28 ,     345 ,     114,
   Sep20 ,   1713 ,  478 ,  26-29 ,     374 ,     104,
   Oct20 ,   1710 ,  448 ,  25-27 ,     360 ,      88,
   Nov20 ,   1679 ,  397 ,  22-24 ,     315 ,      82,
   Dec20 ,   1625 ,  484 ,  28-30 ,     381 ,     103,
   Jan21 ,   1574 ,  386 ,  23-25 ,     310 ,      76,
   Feb21 ,   1559 ,  378 ,  23-25 ,     297 ,      81,
   Mar21 ,   1550 ,  504 ,  31-33 ,     393 ,     111,
   Apr21 ,   1516 ,  439 ,  27-30 ,     344 ,      95,
   May21 ,   1551 ,  410 ,  25-27 ,     338 ,      72,
   Jun21 ,   1598 ,  445 ,  26-29 ,     374 ,      71,
   Jul21 ,   1603 ,  413 ,  24-26 ,     332 ,      81,
   Aug21 ,   1632 ,  451 ,  26-28 ,     341 ,     110,
   Sep21 ,   1697 ,  366 ,  20-22 ,     263 ,     103,
   Oct21 ,   1718 ,  564 ,  31-33 ,     437 ,     127,
   Nov21 ,   1757 ,  533 ,  29-31 ,     421 ,     112,
   Dec21 ,   1805 ,  592 ,  31-33 ,     485 ,     107,
   Jan22 ,   1876 ,  375 ,  19-21 ,     289 ,      86,
   Feb22 ,   1898 ,  418 ,  21-23 ,     327 ,      91,
   Mar22 ,   1905 ,  513 ,  26-28 ,     428 ,      85,
   Apr22 ,   1918 ,  447 ,  22-24 ,     361 ,      86,
   May22 ,   1919 ,  503 ,  25-27 ,     432 ,      71,
   Jun22 ,   1917 ,  527 ,  26-28 ,     440 ,      87,
   Jul22 ,   1919 ,  449 ,  22-24 ,     361 ,      88,
   Aug22 ,   1929 ,  396 ,  19-21 ,     286 ,     110,
   Sep22 ,   1968 ,  448 ,  21-23 ,     345 ,     103,
   Oct22 ,   2022 ,  574 ,  27-29 ,     483 ,      91,
   Nov22 ,   2070 ,  349 ,  16-17 ,     245 ,     104,
   Dec22 ,   2139 ,  320 ,  14-15 ,     254 ,      66,
   Jan23 ,   2169 ,  324 ,  14-15 ,     239 ,      85,
   Feb23 ,   2122 ,  309 ,  14-15 ,     231 ,      78,
   Mar23 ,   2072 ,  407 ,  18-20 ,     331 ,      76,
   Apr23 ,   2068 ,  365 ,  17-18 ,     291 ,      74,
   May23 ,   2080 ,  417 ,  19-21 ,     333 ,      84,
   Jun23 ,   2119 ,  384 ,  17-19 ,     222 ,     162,
   Jul23 ,   2170 ,  333 ,  14-16 ,     180 ,     153,
   Aug23 ,   2173 ,  333 ,  14-16 ,     213 ,     120,
   Sep23 ,   2214 ,  227 ,   9-11 ,     128 ,      99,
   Oct23 ,   2225 ,  214 ,  15-17 ,     142 ,      72,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,   1862 ,27035 ,  24-24 ,   21203 ,    5832,
 Percent ,        ,      ,        ,    ***% ,    ***%,
